Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
The Squash Club 2,14,12,2,73,61,9,0,1,0,0
Twister,14,11,3,58,47,23,0,0,0,0
Centre Squash,14,10,4,51,41,29,0,2,0,0
Hong Kong Football Club 9,14,9,5,51,42,28,0,0,0,0
i-Mask Advance Squash Club 3,13,8,5,40,32,33,0,0,0,0
The Hong Kong Jockey Club Div 9,14,7,7,40,33,37,1,0,0,0
Kowloon Cricket Club 9,14,5,9,32,27,43,5,0,0,0
HKPF Squash Team,14,3,11,30,27,43,2,6,0,0
Kinetic 3,14,3,11,24,21,49,0,0,0,0
BOSS,13,1,12,15,14,51,1,0,0,0
