Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Physical Chess 2,12,12,0,60,48,12,0,2,0,0
Hong Kong Football Club 7B,12,8,4,49,41,19,0,1,0,0
Hong Kong Football Club 7A,13,9,4,46,37,28,0,1,0,0
i-Mask Advance Squash Club 1,13,7,6,42,35,30,1,1,0,0
Hong Kong Cricket Club D7A,13,6,7,37,31,34,1,2,0,4
Thunder 1,13,6,7,35,29,36,0,3,0,0
Hong Kong Cricket Club D7B,13,5,8,35,30,35,0,1,0,0
Xavier,13,5,8,33,28,37,8,0,0,0
UST,12,6,6,32,29,31,1,1,3,0
Social Squash Team,12,4,8,24,20,40,1,0,0,0
Kinetic 1,12,1,11,17,17,43,1,1,1,0
