Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,11,9,2,35,26,7
Hong Kong Football Club M1A,10,7,3,25,18,12
Hong Kong Cricket Club M1B,10,6,4,23,17,13
Hong Kong Cricket Club M1A,12,3,9,15,12,24
Ladies Recreation Club M1,11,2,9,10,8,25
