Team,Played,Won,Lost,Points
7NT,0,0,0,0
BOSS,0,0,0,0
Global Squash 2,0,0,0,0
Hong Kong Cricket Club 7,0,0,0,0
i-Mask Advance Squash Club 4,0,0,0,0
Invader Squash,0,0,0,0
Kinetic 3,0,0,0,0
Sha Tin 5,0,0,0,0
Star River 1,0,0,0,0
The Squash Club 3,0,0,0,0
Tuen Mun Squash Club,0,0,0,0
