Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Smart Squash 1,Tai Po Sports Ground,3.75,2.25,1.5
TNG 1,Cornwall Street Squash Centre,3.25,3.2,0.04999999999999982
Physical Chess 3,Cornwall Street Squash Centre,3.5,3.6,-0.10000000000000009
YLJR 2,Cornwall Street Squash Centre,3.5,4.0,-0.5
Friend Club 4,Cornwall Street Squash Centre,0.4,1.3333333333333333,-0.9333333333333332
i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,0.8,2.0,-1.2
JAVA,HK Squash Centre,1.0,2.25,-1.25
