Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Kowloon Cricket Club 5,Kowloon Cricket Club,4.0,2.8,1.2000000000000002
Hong Kong Football Club 5,Hong Kong Football Club,3.8333333333333335,3.0,0.8333333333333335
Sha Tin Squash Rackets Club 1,Cornwall Street Squash Centre,2.6,1.8,0.8
United Services Recreation Club 1,United Services Recreation Club,3.0,2.2,0.7999999999999998
YLJR 1,Cornwall Street Squash Centre,2.25,1.5,0.75
Electrify Squash Div 5,HK Squash Centre,2.2,1.5,0.7000000000000002
i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,3.2,2.6,0.6000000000000001
X-Alpha 2,Cornwall Street Squash Centre,3.6,3.4,0.20000000000000018
Squashathon,Cornwall Street Squash Centre,0.16666666666666666,1.6,-1.4333333333333333
