Team Name,Home,Average Home Score,Average Away Score,home_away_diff
7NT,Cornwall Street Squash Centre,3.6363636363636362,2.6363636363636362,1.0
Hong Kong Cricket Club Rockers,Hong Kong Cricket Club,3.4545454545454546,2.5454545454545454,0.9090909090909092
Hong Kong Football Club 15,Hong Kong Football Club,3.272727272727273,2.3636363636363638,0.9090909090909092
SKCSC,Cornwall Street Squash Centre,2.5454545454545454,2.1818181818181817,0.36363636363636376
Tuen Mun Squash Club,Cornwall Street Squash Centre,2.8181818181818183,2.5454545454545454,0.27272727272727293
Sha Tin Squash Rackets Club 5,Cornwall Street Squash Centre,2.0,1.7272727272727273,0.2727272727272727
TNG 2,Cornwall Street Squash Centre,2.1818181818181817,1.9090909090909092,0.2727272727272725
United Services Recreation Club 3,United Services Recreation Club,3.6363636363636362,3.4545454545454546,0.18181818181818166
Physical Chess 4,Cornwall Street Squash Centre,3.8181818181818183,3.727272727272727,0.09090909090909127
Invader Squash,Harbour Road Sports Centre,1.4545454545454546,1.4545454545454546,0.0
The Squash Club 2,Cornwall Street Squash Centre,1.4545454545454546,1.5454545454545454,-0.09090909090909083
South China Athletic Association,HK Squash Centre,1.7272727272727273,1.9090909090909092,-0.18181818181818188
