Home Team,Away Team,Venue,Match Week,Date
Sha Tin 6,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,3,2024-10-25
SocGen Squash,Energy Squash Club 2,HK Squash Centre,3,2024-10-25
Electrify Squash Div 13,Fusion Squash Club 2,HK Squash Centre,4,2024-11-01
SocGen Squash,Electrify Squash Div 13,HK Squash Centre,5,2024-11-08
HKIS Div 13,Electrify Squash Div 13,HK Squash Centre,7,2024-11-22
Fusion Squash Club 2,HKIS Div 13,HK Squash Centre,10,2025-01-03
Energy Squash Club 1,Kinetic 4,Pei Ho Street Sports Centre,10,2025-01-03
Electrify Squash Div 13,Energy Squash Club 2,HK Squash Centre,10,2025-01-03
HKIS Div 13,SocGen Squash,HK Squash Centre,11,2025-01-10
Kinetic 4,HKIS Div 13,HK Squash Centre,14,2025-02-07
Energy Squash Club 2,SocGen Squash,HK Squash Centre,14,2025-02-07
Energy Squash Club 2,HKIS Div 13,HK Squash Centre,16,2025-02-21
Electrify Squash Div 13,SocGen Squash,HK Squash Centre,16,2025-02-21
Sha Tin 6,Electrify Squash Div 13,HK Squash Centre,17,2025-02-28
SocGen Squash,Fusion Squash Club 2,HK Squash Centre,19,2025-03-14
HKIS Div 13,Fusion Squash Club 2,HK Squash Centre,21,2025-03-28
Energy Squash Club 2,Electrify Squash Div 13,HK Squash Centre,21,2025-03-28
SocGen Squash,HKIS Div 13,HK Squash Centre,22,2025-04-11
