Home Team,Away Team,Venue,Match Week,Date
JESSICA Smashin' Mochi,Electrify Squash Ladies,HK Squash Centre,2,2024-10-18
JESSICA L4,Electrify Squash Ladies,HK Squash Centre,6,2024-11-15
JESSICA Smashin' Mochi,JESSICA L4,HK Squash Centre,8,2024-11-29
Hong Kong Football Club L4,Hong Kong Football Club JSA,Hong Kong Football Club,8,2024-11-29
Electrify Squash Ladies,JESSICA Smashin' Mochi,HK Squash Centre,9,2024-12-13
Electrify Squash Ladies,JESSICA L4,HK Squash Centre,13,2025-01-24
Hong Kong Football Club JSA,Hong Kong Football Club L4,Hong Kong Football Club,15,2025-02-14
JESSICA Smashin' Mochi,Electrify Squash Ladies,HK Squash Centre,16,2025-02-21
Electrify Squash Ladies,i-Mask Advance Squash Club L4,Cornwall Street Squash Centre,18,2025-03-07
Electrify Squash Ladies,JESSICA L4,HK Squash Centre,20,2025-03-21
