Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,16,13,3,46
Hong Kong Football Club M1B,14,11,3,42
Hong Kong Cricket Club M1A,15,6,9,30
Hong Kong Cricket Club M1B,15,5,10,21
Squashathon M+,14,2,12,9
