Team,Played,Won,Lost,Points
Squashathon Junior,19,13,6,79
Happy Squash 5,19,14,5,78
Dream Catchers,19,15,4,75
TKO Junior 2,19,13,6,70
Vitality Squash 3,18,7,11,45
Electrify Squash Div 15,19,6,13,35
RC,19,5,14,26
NEXUS 4,18,3,15,24
