Team,Played,Won,Lost,Points
Hong Kong Cricket Club M2,16,10,6,63
Hong Kong Football Club M2A,15,11,4,58
Hong Kong Football Club M2B,15,10,5,52
Ladies Recreation Club M2,15,6,9,41
United Services Recreation Club M2,15,1,14,14
