Team,Played,Won,Lost,Points
Sha Tin 3,17,14,3,76
i-Mask Advance Squash Club 2,16,14,2,74
Squashathon Zero,16,10,6,59
Physical Chess 3,16,9,7,53
TOMCAT,17,5,12,37
Kinetic 2,15,4,11,31
LONGVIEW,15,0,15,5
