Team,Played,Won,Lost,Points
Hong Kong Football Club L2B,19,18,1,81
Kowloon Cricket Club L2B,19,16,3,75
Hong Kong Football Club L2A,19,9,10,51
Hong Kong Cricket Club L2,19,7,12,45
Kowloon Cricket Club L2A,19,7,12,34
JESSICA L2 [withdrawal],19,0,19,0
