Team Name,Home,Average Home Score,Average Away Score,Difference
South China Athletic Association,South China Athletic Assocation (SCAA),2.5,1.3,1.2
i-MASK Advance Squash Club 10,Cornwall Street (CSPSC),4.125,3.125,1.0
KTSC,Cornwall Street (CSPSC),2.5,1.75,0.75
The Squash Club 3,Kwun Chung (KCSC),2.4444444444444446,1.9,0.5444444444444447
Honey Badger SC 3,HK Squash Centre (HKSC),0.875,0.5714285714285714,0.3035714285714286
Perrier KCC 8,Kowloon Cricket Club (KCC),4.0,3.7,0.2999999999999998
Honey Badger SC 2,HK Squash Centre (HKSC),3.125,3.125,0.0
Visions,Java Road (JRSC),1.8,1.8,0.0
Hong Kong Football Club 13,Hong Kong Football Club (HKFC),2.2,2.5,-0.2999999999999998
SQUASHED BALLS,HK Squash Centre (HKSC),3.0,3.375,-0.375
Star River 2,Cornwall Street (CSPSC),2.25,3.0,-0.75
