Team Name,Home,Average Home Score,Average Away Score,Difference
ZOMA 2,Cornwall Street (CSPSC),2.857142857142857,1.5714285714285714,1.2857142857142858
United Services Recreation Club 5,United Services Recreation Club (USRC),3.6363636363636362,2.6363636363636362,1.0
Royal Hong Kong Yacht Club 15,Royal Hong Kong Yacht Club (RHKYC),3.1818181818181817,2.4545454545454546,0.7272727272727271
Kinetic 6,HK Squash Centre (HKSC),2.1,1.4444444444444444,0.6555555555555557
KWTDSC 1,Cornwall Street (CSPSC),3.142857142857143,3.0,0.1428571428571428
7NT,Pei Ho Street (PHSSC),1.3636363636363635,1.3636363636363635,0.0
Real Neo-Active Club,Java Road (JRSC),3.1818181818181817,3.1818181818181817,0.0
Progressive Squash Club,HK Squash Centre (HKSC),2.4,2.5,-0.10000000000000009
Squashaholic,Cornwall Street (CSPSC),1.8571428571428572,2.0,-0.1428571428571428
Flash 2,Cornwall Street (CSPSC),0.8333333333333334,1.1428571428571428,-0.3095238095238094
Tuen Mun Squash Club 2,Kwun Chung (KCSC),3.272727272727273,3.909090909090909,-0.6363636363636362
Star River 3,Cornwall Street (CSPSC),2.2857142857142856,3.142857142857143,-0.8571428571428572
