Team Name,Home,Average Home Score,Average Away Score,Difference
Bravo,Cornwall Street (CSPSC),3.2857142857142856,2.142857142857143,1.1428571428571428
Hong Kong Football Club 14,Hong Kong Football Club (HKFC),3.1,2.1,1.0
Invader Squash,Harbour Road (HRSC),3.6666666666666665,3.0,0.6666666666666665
Friend Club 7,Kwun Chung (KCSC),1.4444444444444444,0.8,0.6444444444444444
South Kwai Chung Squash Club 1,Cornwall Street (CSPSC),4.285714285714286,3.6666666666666665,0.6190476190476191
Phoenix,HK Squash Centre (HKSC),4.125,3.75,0.375
Rovers,Cornwall Street (CSPSC),1.8571428571428572,1.7142857142857142,0.14285714285714302
Kinetic 5,HK Squash Centre (HKSC),3.625,3.5,0.125
DS,Harbour Road (HRSC),1.5555555555555556,1.4444444444444444,0.11111111111111116
Global 2,HK Squash Centre (HKSC),3.125,3.125,0.0
PLZ,Cornwall Street (CSPSC),0.0,0.0,0.0
