Team Name,Home,Average Home Score,Average Away Score,Difference
i-MASK Advance Squash Club 3,Cornwall Street (CSPSC),3.875,1.8571428571428572,2.017857142857143
Razor 2,Cornwall Street (CSPSC),4.125,2.75,1.375
Head Shatin 2,Cornwall Street (CSPSC),3.25,2.25,1.0
Perrier KCC 5,Kowloon Cricket Club (KCC),2.0,1.0909090909090908,0.9090909090909092
Island Squash Racquet Club,HK Squash Centre (HKSC),3.0,2.1,0.8999999999999999
Hong Kong Cricket Club 2,Hong Kong Cricket Club (HKCC),2.6,1.8,0.8
Hong Kong Football Club 6B,Hong Kong Football Club (HKFC),3.3333333333333335,2.5555555555555554,0.7777777777777781
Hong Kong Football Club 6A,Hong Kong Football Club (HKFC),3.6666666666666665,2.888888888888889,0.7777777777777777
Friend Club 3,Pei Ho Street (PHSSC),1.5,0.8,0.7
GS 1,Java Road (JRSC),4.2,3.6,0.6000000000000001
Runners,Kwun Chung (KCSC),1.5,1.0,0.5
