Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club M1A,Squashathon M+,Hong Kong Football Club,13,2026-01-15
Hong Kong Football Club M1B,Hong Kong Cricket Club M1B,Hong Kong Football Club,13,2026-01-15
Squashathon M+,Hong Kong Football Club M1B,Masters - Cornwall Street Squash Centre,14,2026-01-22
Hong Kong Cricket Club M1A,Hong Kong Football Club M1A,Hong Kong Cricket Club,14,2026-01-22
Hong Kong Football Club M1B,Hong Kong Cricket Club M1A,Hong Kong Football Club,15,2026-01-29
Squashathon M+,Hong Kong Cricket Club M1B,Masters - Cornwall Street Squash Centre,15,2026-01-29
Hong Kong Cricket Club M1B,Hong Kong Cricket Club M1A,Hong Kong Cricket Club,16,2026-02-05
Hong Kong Football Club M1B,Hong Kong Football Club M1A,Hong Kong Football Club,16,2026-02-05
Hong Kong Cricket Club M1B,Hong Kong Football Club M1A,Hong Kong Cricket Club,17,2026-02-12
Hong Kong Cricket Club M1A,Squashathon M+,Hong Kong Cricket Club,17,2026-02-12
Squashathon M+,Hong Kong Football Club M1A,Masters - Cornwall Street Squash Centre,18,2026-03-05
Hong Kong Cricket Club M1B,Hong Kong Football Club M1B,Hong Kong Cricket Club,18,2026-03-05
Hong Kong Football Club M1B,Squashathon M+,Hong Kong Football Club,19,2026-03-12
Hong Kong Football Club M1A,Hong Kong Cricket Club M1A,Hong Kong Football Club,19,2026-03-12
Hong Kong Cricket Club M1A,Hong Kong Football Club M1B,Hong Kong Cricket Club,20,2026-03-19
Hong Kong Cricket Club M1B,Squashathon M+,Hong Kong Cricket Club,20,2026-03-19
