Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
United Services Recreation Club M3,Jaws Master,United Services Recreation Club,1,07/10/2021,2-3,"['0-3', '0-3', '1-3', '3-0', '3-0']",2,3,7,9
Friend Club Master,American Club - Yacht Club,Masters - Cornwall Street Squash Centre,1,07/10/2021,1-4,"['3-1', '0-3', '0-3', '0-3', '2-3']",1,4,5,13
Howards Folly Wine LRC Master 3,Hong Kong Cricket Club M3,Ladies Recreation Club,1,07/10/2021,3-2,"['3-0', '3-0', '3-0', '2-3', '0-3']",3,2,11,6
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club,1,07/10/2021,2-3,"['3-0', '1-3', '2-3', '2-3', '3-0']",2,3,11,9
Hong Kong Football Club M3A,Howards Folly Wine LRC Master 3,Hong Kong Football Club,2,21/10/2021,0-5,"['0-3', '0-3', '1-3', '1-3', '0-3']",0,5,2,15
Hong Kong Cricket Club M3,Friend Club Master,Hong Kong Cricket Club,2,21/10/2021,4-1,"['2-3', '3-0', '3-0', '3-0', 'WO']",4,1,14,3
American Club - Yacht Club,United Services Recreation Club M3,American Club,2,21/10/2021,2-3,"['0-3', '3-0', '2-3', '3-1', '2-3']",2,3,10,10
Jaws Master,Hong Kong Football Club M3B,Masters - HK Squash Centre,2,21/10/2021,1-4,"['3-1', '0-3', '0-3', '1-3', '0-3']",1,4,4,13
Jaws Master,American Club - Yacht Club,Masters - HK Squash Centre,3,28/10/2021,3-2,"['3-0', '3-1', '3-0', '0-3', '0-3']",3,2,9,7
United Services Recreation Club M3,Hong Kong Cricket Club M3,United Services Recreation Club,3,28/10/2021,3-2,"['3-2', '3-0', '0-3', '3-1', '2-3']",3,2,11,9
Friend Club Master,Hong Kong Football Club M3A,Masters - Cornwall Street Squash Centre,3,28/10/2021,2-3,"['3-1', '0-3', '1-3', '0-3', '3-0']",2,3,7,10
Hong Kong Football Club M3B,Howards Folly Wine LRC Master 3,Hong Kong Football Club,3,28/10/2021,1-4,"['0-3', '2-3', '3-2', '0-3', '1-3']",1,4,6,14
Howards Folly Wine LRC Master 3,Friend Club Master,Ladies Recreation Club,4,04/11/2021,5-0,"['3-0', '3-0', '3-0', 'CR', 'CR']",5,0,15,0
Hong Kong Football Club M3A,United Services Recreation Club M3,Hong Kong Football Club,4,04/11/2021,2-3,"['2-3', '3-1', '2-3', '3-0', '2-3']",2,3,12,10
Hong Kong Cricket Club M3,Jaws Master,Hong Kong Cricket Club,4,04/11/2021,3-2,"['0-3', '3-2', '3-1', '0-3', '3-0']",3,2,9,9
American Club - Yacht Club,Hong Kong Cricket Club M3,American Club,5,11/11/2021,2-3,"['3-1', '1-3', '0-3', '0-3', '3-0']",2,3,7,10
Jaws Master,Hong Kong Football Club M3A,Masters - HK Squash Centre,5,11/11/2021,2-3,"['3-2', '3-0', '0-3', '0-3', '0-3']",2,3,6,11
United Services Recreation Club M3,Howards Folly Wine LRC Master 3,United Services Recreation Club,5,11/11/2021,1-4,"['3-0', '1-3', '2-3', '1-3', '1-3']",1,4,8,12
Hong Kong Football Club M3B,Friend Club Master,Hong Kong Football Club,5,11/11/2021,3-2,"['3-1', '3-0', '1-3', '1-3', '3-0']",3,2,11,7
United Services Recreation Club M3,Friend Club Master,United Services Recreation Club,6,18/11/2021,3-2,"['3-0', '3-1', '1-3', '3-0', '0-3']",3,2,10,7
Howards Folly Wine LRC Master 3,Jaws Master,Ladies Recreation Club,6,18/11/2021,3-2,"['0-3', '1-3', '3-1', '3-0', '3-0']",3,2,10,7
