Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Young Player 3,Perrier Sergio Tacchini KCC 3,HK Squash Centre,1,05/10/2021,5-0,"['3-1', '3-1', '3-1', '3-0', '3-2']",5,0,15,5
Hong Kong Football Club 3A,Hong Kong Football Club 3B,Hong Kong Football Club,1,05/10/2021,2-3,"['3-2', '3-2', '1-3', '1-3', '2-3']",2,3,10,13
Hong Kong Football Club 3B,Perrier Sergio Tacchini KCC 3,Hong Kong Football Club,2,19/10/2021,1-4,"['0-3', '0-3', '2-3', '0-3', '3-1']",1,4,5,13
Young Player 3,Fusion Squash Club 1,HK Squash Centre,2,19/10/2021,5-0,"['3-0', '3-1', '3-0', '3-0', '3-1']",5,0,15,2
Hong Kong Football Club 3A,Young Player 3,Hong Kong Football Club,3,26/10/2021,2-3,"['1-3', '0-3', '0-3', '3-1', '3-0']",2,3,7,10
Fusion Squash Club 1,Perrier Sergio Tacchini KCC 3,HK Squash Centre,3,26/10/2021,0-5,"['0-3', '0-3', '1-3', '2-3', '0-3']",0,5,3,15
Hong Kong Football Club 3B,Fusion Squash Club 1,Hong Kong Football Club,4,02/11/2021,2-3,"['0-3', '1-3', '1-3', '3-1', '3-0']",2,3,8,10
Perrier Sergio Tacchini KCC 3,Hong Kong Football Club 3A,Kowloon Cricket Club,4,02/11/2021,5-0,"['3-2', '3-1', '3-0', '3-0', '3-1']",5,0,15,4
Perrier Sergio Tacchini KCC 3,Young Player 3,Kowloon Cricket Club,5,09/11/2021,2-3,"['1-3', '2-3', '0-3', '3-0', '3-0']",2,3,9,9
Hong Kong Football Club 3B,Hong Kong Football Club 3A,Hong Kong Football Club,5,09/11/2021,1-4,"['2-3', '3-0', '2-3', '0-3', '0-3']",1,4,7,12
Hong Kong Football Club 3A,Fusion Squash Club 1,Hong Kong Football Club,6,16/11/2021,5-0,"['3-1', '3-1', '3-0', '3-1', '3-1']",5,0,15,4
Young Player 3,Hong Kong Football Club 3B,HK Squash Centre,6,16/11/2021,3-2,"['3-1', '3-2', '3-1', '1-3', 'CR']",3,2,13,7
Perrier Sergio Tacchini KCC 3,Hong Kong Football Club 3B,Kowloon Cricket Club,7,23/11/2021,2-3,"['1-3', '3-0', '3-0', '0-3', '2-3']",2,3,9,9
Fusion Squash Club 1,Young Player 3,HK Squash Centre,7,23/11/2021,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
Young Player 3,Hong Kong Football Club 3A,HK Squash Centre,8,30/11/2021,4-1,"['3-0', '3-0', '3-0', '0-3', '3-0']",4,1,12,3
Perrier Sergio Tacchini KCC 3,Fusion Squash Club 1,Kowloon Cricket Club,8,30/11/2021,2-3,"['0-3', '2-3', '3-1', '3-0', '2-3']",2,3,10,10
Fusion Squash Club 1,Hong Kong Football Club 3B,HK Squash Centre,9,07/12/2021,2-3,"['3-1', '1-3', '0-3', '3-2', 'CR']",2,3,7,12
Hong Kong Football Club 3A,Perrier Sergio Tacchini KCC 3,Hong Kong Football Club,9,07/12/2021,2-3,"['3-0', '0-3', '2-3', '1-3', '3-2']",2,3,9,11
Young Player 3,Perrier Sergio Tacchini KCC 3,HK Squash Centre,10,14/12/2021,3-2,"['3-1', '3-1', '1-3', '1-3', 'CR']",3,2,11,8
Hong Kong Football Club 3A,Hong Kong Football Club 3B,Hong Kong Football Club,10,14/12/2021,3-2,"['3-1', '0-3', '0-3', '3-1', '3-2']",3,2,9,10
Fusion Squash Club 1,Hong Kong Football Club 3A,HK Squash Centre,11,04/01/2022,0-5,"['0-3', '2-3', '0-3', '0-3', 'CR']",0,5,2,15
Hong Kong Football Club 3B,Young Player 3,Hong Kong Football Club,11,04/01/2022,2-3,"['0-3', '0-3', '0-3', '3-1', '3-0']",2,3,6,10
