Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
The Hong Kong Jockey Club M4,The HK Club Blue,HKJC Sha Tin Club House,1,07/10/2021,4-1,"['1-3', '3-0', '3-0', '3-1', '3-0']",4,1,13,4
RHKYC M4,Bolton,Royal Hong Kong Yacht Club,1,07/10/2021,1-4,"['3-1', '1-3', '0-3', '0-3', '0-3']",1,4,4,13
WAKO Masters,Phoenix,Masters - HK Squash Centre,1,07/10/2021,4-1,"['3-2', '3-2', '3-0', '3-1', '2-3']",4,1,14,8
Hong Kong Cricket Club M4,Alpha CUHK Master,Hong Kong Cricket Club,1,07/10/2021,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Hong Kong Football Club M4A,Hong Kong Football Club M4B,Hong Kong Football Club,1,07/10/2021,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
Perrier Sergio Tacchini KCC M4,Hong Kong Football Club M4A,Kowloon Cricket Club,2,21/10/2021,4-1,"['3-0', '3-0', '0-3', '3-0', '3-2']",4,1,12,5
Hong Kong Football Club M4B,Hong Kong Cricket Club M4,Hong Kong Football Club,2,21/10/2021,1-4,"['3-0', '1-3', '0-3', '0-3', '0-3']",1,4,4,12
Alpha CUHK Master,WAKO Masters,Masters - Cornwall Street Squash Centre,2,21/10/2021,0-5,"['1-3', '1-3', '0-3', '0-3', '0-3']",0,5,2,15
Phoenix,RHKYC M4,Masters - HK Squash Centre,2,21/10/2021,4-1,"['3-0', '3-0', '3-0', '3-0', '0-3']",4,1,12,3
Bolton,The HK Club Blue,Masters - HK Squash Centre,2,21/10/2021,4-1,"['0-3', '3-1', '3-1', '3-1', '3-0']",4,1,12,6
The Hong Kong Jockey Club M4,Bolton,HKJC Sha Tin Club House,3,28/10/2021,3-2,"['2-3', '1-3', '3-1', '3-1', '3-0']",3,2,12,8
The HK Club Blue,Phoenix,HK CLUB,3,28/10/2021,2-3,"['3-1', '1-3', '3-0', '1-3', '1-3']",2,3,9,10
RHKYC M4,Alpha CUHK Master,Royal Hong Kong Yacht Club,3,28/10/2021,2-3,"['3-1', '3-2', '0-3', '2-3', '2-3']",2,3,10,12
WAKO Masters,Hong Kong Football Club M4B,Masters - HK Squash Centre,3,28/10/2021,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3
Hong Kong Cricket Club M4,Perrier Sergio Tacchini KCC M4,Hong Kong Cricket Club,3,28/10/2021,2-3,"['0-3', '3-0', '3-0', '2-3', '1-3']",2,3,9,9
Perrier Sergio Tacchini KCC M4,WAKO Masters,Kowloon Cricket Club,4,04/11/2021,1-4,"['1-3', '2-3', '0-3', '0-3', '3-0']",1,4,6,12
Alpha CUHK Master,The HK Club Blue,Masters - Cornwall Street Squash Centre,4,04/11/2021,5-0,"['3-2', '3-1', '3-0', '3-0', '3-1']",5,0,15,4
Phoenix,The Hong Kong Jockey Club M4,Masters - HK Squash Centre,4,04/11/2021,3-2,"['1-3', '3-0', '3-2', '2-3', '3-0']",3,2,12,8
Bolton,Phoenix,Masters - HK Squash Centre,5,11/11/2021,3-2,"['2-3', '3-2', '3-0', '1-3', '3-0']",3,2,12,8
The Hong Kong Jockey Club M4,Alpha CUHK Master,HKJC Sha Tin Club House,5,11/11/2021,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
The HK Club Blue,Hong Kong Football Club M4B,HK CLUB,5,11/11/2021,3-2,"['0-3', '3-0', '0-3', '3-0', '3-0']",3,2,9,6
RHKYC M4,Perrier Sergio Tacchini KCC M4,Royal Hong Kong Yacht Club,5,11/11/2021,2-3,"['3-0', '3-2', '0-3', '0-3', '2-3']",2,3,8,11
Hong Kong Football Club M4A,WAKO Masters,Hong Kong Football Club,5,11/11/2021,1-4,"['0-3', '1-3', '0-3', '3-1', '1-3']",1,4,5,13
Hong Kong Cricket Club M4,WAKO Masters,Hong Kong Cricket Club,6,18/11/2021,2-3,"['3-1', '3-1', '1-3', '0-3', '0-3']",2,3,7,11
RHKYC M4,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club,6,18/11/2021,3-2,"['3-0', '3-2', '2-3', '3-0', '0-3']",3,2,11,8
Perrier Sergio Tacchini KCC M4,The HK Club Blue,Kowloon Cricket Club,6,18/11/2021,5-0,"['3-2', '3-2', '3-0', '3-0', '3-0']",5,0,15,4
Hong Kong Football Club M4B,The Hong Kong Jockey Club M4,Hong Kong Football Club,6,18/11/2021,1-4,"['0-3', '3-2', '0-3', '2-3', '0-3']",1,4,5,14
Alpha CUHK Master,Bolton,Masters - Cornwall Street Squash Centre,6,18/11/2021,0-5,"['2-3', '1-3', '0-3', '0-3', '0-3']",0,5,3,15
Phoenix,Alpha CUHK Master,Masters - HK Squash Centre,7,25/11/2021,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Bolton,Hong Kong Football Club M4B,Masters - HK Squash Centre,7,25/11/2021,3-2,"['0-3', '0-3', '3-0', '3-1', '3-0']",3,2,9,7
The Hong Kong Jockey Club M4,Perrier Sergio Tacchini KCC M4,HKJC Sha Tin Club House,7,25/11/2021,2-3,"['0-3', '0-3', '1-3', '3-0', '3-0']",2,3,7,9
Hong Kong Football Club M4A,The HK Club Blue,Hong Kong Football Club,7,25/11/2021,4-1,"['1-3', '3-0', '3-0', 'CR', 'CR']",4,1,13,3
RHKYC M4,Hong Kong Cricket Club M4,Royal Hong Kong Yacht Club,7,25/11/2021,0-5,"['0-3', '0-3', '1-3', '0-3', 'CR']",0,5,1,15
WAKO Masters,RHKYC M4,Masters - HK Squash Centre,8,02/12/2021,5-0,"['3-0', '3-0', '3-0', '3-1', '3-0']",5,0,15,1
Hong Kong Cricket Club M4,The HK Club Blue,Hong Kong Cricket Club,8,02/12/2021,1-4,"['2-3', '0-3', '1-3', '1-3', '3-1']",1,4,7,13
The Hong Kong Jockey Club M4,Hong Kong Football Club M4A,HKJC Sha Tin Club House,8,02/12/2021,3-2,"['3-0', '1-3', '3-1', '0-3', '3-0']",3,2,10,7
Perrier Sergio Tacchini KCC M4,Bolton,Kowloon Cricket Club,8,02/12/2021,4-1,"['1-3', '3-0', '3-1', '3-0', '3-0']",4,1,13,4
Hong Kong Football Club M4B,Phoenix,Hong Kong Football Club,8,02/12/2021,1-4,"['1-3', '1-3', '3-0', '0-3', '0-3']",1,4,5,12
Alpha CUHK Master,Hong Kong Football Club M4B,Masters - HK Squash Centre,9,09/12/2021,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3
Phoenix,Perrier Sergio Tacchini KCC M4,Masters - HK Squash Centre,9,09/12/2021,3-2,"['3-2', '3-1', '3-0', '0-3', '0-3']",3,2,9,9
