Team,Played,Won,Lost,Points
Hong Kong Football Club L2A,19,18,1,79
Kowloon Cricket Club L2,19,15,4,77
Hong Kong Cricket Club L2A,19,11,8,54
Hong Kong Football Club L2C,19,7,12,31
Hong Kong Football Club L2B,19,3,16,26
Hong Kong Cricket Club L2B,19,3,16,15
