Team,Played,Won,Lost,Points
JESSICA Smashin' Mochi,12,10,2,39
Hong Kong Football Club L3A,12,8,4,39
Hong Kong Football Club L3B,12,8,4,39
Hong Kong Cricket Club Rockettes,12,7,5,36
Hong Kong Football Club L3C,12,4,8,27
Physical Chess Ladies,12,4,8,24
The Squash Club Ladies,12,1,11,6
