Team,Played,Won,Lost,Points
Phoenix,16,15,1,81
Kowloon Cricket Club M3,16,12,4,67
Hong Kong Football Club M3A,16,12,4,64
Hong Kong Cricket Club M3,16,10,6,53
Royal Hong Kong Yacht Club M3,16,6,10,48
United Services Recreation Club M3,16,8,8,45
Hong Kong Club Blue,16,5,11,30
Hong Kong Football Club M3B,16,4,12,28
Bolton,16,0,16,16
