Team,Played,Won,Lost,Points
Kinetic 3,15,14,1,73
Global Squash 2,16,13,3,73
Sha Tin Squash Rackets Club 6,16,12,4,72
Star River 2,16,10,6,58
ZOMA,15,12,3,57
Airporterz,15,9,6,54
Hong Kong Football Club 16,16,7,9,45
Winter Warriors,16,6,10,38
SQUASHTASTIC 8,16,4,12,29
i-Mask Advance Squash Club 6,16,4,12,26
Latecomers,16,2,14,18
CSD Squash Team,15,1,14,12
