,Team,Played,Won,Lost,Points
0,FC 3,11,11,0,55
1,Hong Kong Football Club 10A,11,9,2,47
2,Kowloon Cricket Club 10,11,8,3,44
3,Social Squash Team,10,6,4,31
4,Hong Kong Football Club 10B,11,4,7,28
5,HKU,11,5,6,27
6,Twister 2,10,4,6,23
7,The Best Group,11,1,10,16
8,The Hong Kong Jockey Club Div 10,10,0,10,16
