Team,Played,Won,Lost,Points
X-Alpha 4,21,21,0,116
Fusion Squash Club 2,21,15,6,94
Vitality Squash 2,21,13,8,73
Happy Squash 3,21,10,11,65
i-Mask Advance Squash Club 8,21,11,10,59
Smart Squash 2,21,8,13,52
Friend Club 6,21,2,19,23
i-Mask Advance Squash Club 7,21,4,17,22
