Team,Played,Won,Lost,Points
X-Alpha 1,20,19,1,98
Kowloon Cricket Club 4,20,15,5,82
Friend Club 1,19,8,11,52
TNGX,20,9,11,51
Hong Kong Football Club 4A,20,5,15,37
Hong Kong Football Club 4B,19,3,16,28
