Team,Played,Won,Lost,Points
YLJR 2,16,15,1,81
Physical Chess 3,16,10,6,62
Smart Squash 1,15,10,5,59
TNG 1,15,10,5,56
JAVA,15,3,12,23
Friend Club 4,14,3,11,20
i-Mask Advance Squash Club 4,15,2,13,15
