Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Physical Chess 1,Cornwall Street Squash Centre,4.0,2.0,2.0
Squashathon,Cornwall Street Squash Centre,3.5,2.0,1.5
Hong Kong Football Club 5A,Hong Kong Football Club,4.2,3.0,1.2000000000000002
X-Alpha 2,Cornwall Street Squash Centre,3.75,2.6666666666666665,1.0833333333333335
Hong Kong Football Club 5B,Hong Kong Football Club,2.75,1.6666666666666667,1.0833333333333333
The Squash Club 1,Cornwall Street Squash Centre,2.0,1.0,1.0
i-Mask Advance Squash Club 1,Cornwall Street Squash Centre,1.6666666666666667,0.75,0.9166666666666667
Uncle,Cornwall Street Squash Centre,2.75,2.0,0.75
Hong Kong Racketlon Association 1,Cornwall Street Squash Centre,3.0,2.5,0.5
Happy Squash 2,Wai Tsuen Sports Centre,2.4285714285714284,2.25,0.17857142857142838
