Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,19,18,1,91,75,20,0,13,0,0
TNG 2,19,16,3,78,65,30,5,5,1,0
Royal Hong Kong Yacht Club Div 13,19,14,5,77,63,32,0,9,0,0
Greenfield,19,12,7,71,59,36,0,10,0,0
North District Sports Association 2,19,11,8,63,52,43,0,5,0,0
Arctic Circle,19,10,9,61,51,44,5,4,0,2
Squashathon PLZ,19,8,11,58,50,45,0,5,0,0
Bravo D13,19,6,13,42,36,58,10,7,0,0
Vitality Squash 3,19,7,12,34,29,65,21,2,2,1
Star River 3,19,4,15,34,30,65,0,3,0,1
M&M Squash,19,5,14,33,30,65,7,1,1,0
Physical Chess 4,19,3,16,31,29,66,20,4,0,0
