Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club M1B,15,11,4,44,33,12,0,0,0,0
Hong Kong Football Club M1A,15,12,3,42,30,15,2,0,0,0
Hong Kong Cricket Club M1B,15,8,7,32,24,21,0,0,0,0
Hong Kong Cricket Club M1A,16,4,12,21,17,31,0,2,0,0
Ladies Recreation Club M1,15,3,12,13,10,35,0,0,0,0
