Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,16,16,0,76,60,20,0,0,0,0
The Squash Club 3,17,11,6,62,51,34,0,0,0,0
BOSS,17,11,6,61,50,35,0,0,0,0
Tuen Mun Squash Club,18,10,8,54,44,46,0,0,0,0
Star River 1,18,9,9,54,45,45,0,0,0,0
Kinetic 3,17,10,7,53,43,42,0,0,0,0
HKCC Tuesday Night Rockers,17,8,9,50,42,43,0,0,0,0
Global Squash 2,17,6,11,47,41,44,0,0,0,0
i-Mask Advance Squash Club 4,17,5,12,39,34,51,0,0,0,0
Invader Squash,18,5,13,35,30,60,0,0,0,0
7NT,16,3,13,33,30,50,0,0,0,0
