Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club D7A,Ngo Joshua (12),"Aw Adrian, Bhandari Raghav, Ngo Joshua (6)",Lau Kwai Hong (83.3%)
Hong Kong Cricket Club D7B,Dickson Robert (11),Hathiramani Sahil Ajit (6),Montefiore Alexander (100.0%)
Hong Kong Football Club 7A,Yeung Yurisa (13),Yeung Yurisa (9),Wong Yu San (100.0%)
Hong Kong Football Club 7B,Yeung Himmy Cheuk Him (15),"Yeung Himmy Cheuk Him, Li Samuel Kwok Sing (10)",Li Samuel Kwok Sing (100.0%)
Kinetic 1,Lin Charles Lan Kay (12),"Lin Charles Lan Kay, Gibert Kai Shaun Otto (5)",Gibert Kai Shaun Otto (62.5%)
Physical Chess 2,Dai Kwun San Harry (11),Wong Wai Lap (10),"Wong Wai Lap, Lee Darren Ching Him (100.0%)"
Social Squash Team,Catherine Loic (12),Catherine Loic (6),Toernell Henrik (62.5%)
Thunder 1,"Wong Hui Sing, Siu Chen Dong (11)",Wong Hui Sing (7),Wong Hui Sing (63.6%)
UST,Wong Chi Hang Frankie (8),Wong Chi Hang Frankie (6),Chan Wan Fei (83.3%)
Xavier,"Tam Kai Chung Hades, Chan Keiko Tsun Ling, Chan Ping Him Kevin (14)","Liu Chun Hin Heron, Chan Keiko Tsun Ling (9)",Liu Chun Hin Heron (69.2%)
i-Mask Advance Squash Club 1,Li Chi Hei (14),Li Chi Hei (12),Leung Ka Long (100.0%)
