Team,Most Games,Most Wins,Highest Win Percentage
BOSS,"Li Kelvin Hon Hun, Fong Wai Kuen, Fung Bruce Wai Ho (12)",Luk Raymond Yiu Fai (6),Luk Raymond Yiu Fai (66.7%)
Centre Squash,Bedouillat Vincent (13),Chevaux Alexander (10),Chevaux Alexander (90.9%)
HKPF Squash Team,Ko Toby Ho Yin (15),Ko Toby Ho Yin (11),Ko Toby Ho Yin (73.3%)
Hong Kong Football Club 9,Lee Lawrence Chi Hung (12),Kirpalani Shaun (9),Kirpalani Shaun (81.8%)
Kinetic 3,To Felix Ka Hei (10),Tse Wai Hong (5),Tse Wai Hong (62.5%)
Kowloon Cricket Club 9,Osmund Ronnie (14),Osmund Ronnie (9),Choy Yuk Kwong Donnie (71.4%)
The Hong Kong Jockey Club Div 9,Lee Dennis Yuk Kai (15),Woo Heng Che Stephen (7),Wong Aaron Wan Chong (80.0%)
The Squash Club 2,Poon Ho Kar James (14),Poon Ho Kar James (14),"Yan Ka Ho, Poon Ho Kar James, Kan Ken Chun Kit, Lee Bruce Lap Tak (100.0%)"
Twister,Lee Rachel Wing Yan (14),Lee Rachel Wing Yan (12),Lau Eric Chi Wai (100.0%)
i-Mask Advance Squash Club 3,"Au Wai Lun, Mo Li Hung Calvin, Au Heung Ben (16)",Au Wai Lun (12),Au Wai Lun (75.0%)
