Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Tin Charlotte Pui Lam (14),Tin Charlotte Pui Lam (13),Tin Charlotte Pui Lam (92.9%)
Fusion Squash Club 4,"Liu Riley, Wang Philbert (10)","Mei Tianle Arthur, Li Asher, Cheung Cheuk Yin Nathan (1)","Li Asher, Cheung Cheuk Yin Nathan (16.7%)"
Hong Kong Football Club 14,Wan Damien Tin Chun (14),Wan Damien Tin Chun (8),Soo Ting He Nico (100.0%)
Ladies Recreation Club Div 14,Chen Peak Julian (14),Chen Peak Julian (6),Lui-Schwille Tristan Alexander Yifeng (45.5%)
North District Sports Association 2,Fung Yau On (15),Fung Yau On (12),Lee Man Lok Raymond (100.0%)
Physical Chess 5,"Wong Ho Tong, Chan Cheuk Nam (10)",Tin Nok Lam (8),Tin Nok Lam (88.9%)
RELAY 2,"Chung Yui On Jake, Cheng Nic (11)",Chung Yui On Jake (9),Chung Yui On Jake (81.8%)
Royal Hong Kong Yacht Club Div 14,Lai Ming Wah (13),"Ho Wai Keung, Oei Chuen Shek Joseph (9)","Ho Wai Keung, Chaudhry Ali (100.0%)"
Squash-On,Lau Hayden (14),Lau Hayden (5),Huang Xin Min (57.1%)
TKO Junior 1,Lee Man Yu (13),Jong Kwok Wai (11),Jong Kwok Wai (91.7%)
TNG 3,Ho Yiu Hei (11),Kwan Yui Tang (7),Kwan Yui Tang (70.0%)
The Squash Club 4,Chung Tsam Yee (15),Chung Tsam Yee (15),"Chung Tsam Yee, Ngan Joan, Hui Chi Hin (100.0%)"
