Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,12,12,0,56,44,16,0,0,0,0
The Squash Club 3,13,8,5,46,38,27,0,0,0,0
Kinetic 3,12,10,2,45,35,25,0,0,0,0
Tuen Mun Squash Club,13,7,6,39,32,33,0,0,0,0
Global Squash 2,13,6,7,39,33,32,0,0,0,0
HKCC Tuesday Night Rockers,12,6,6,37,31,29,0,0,0,0
Star River 1,14,5,9,37,32,38,0,0,0,0
BOSS,11,6,5,36,30,25,0,0,0,0
i-Mask Advance Squash Club 4,11,4,7,28,24,31,0,0,0,0
7NT,12,2,10,24,22,38,0,0,0,0
Invader Squash,13,2,11,21,19,46,0,0,0,0
