Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,14,12,2,63,51,19,0,1,0,1
Hong Kong Football Club 5A,13,11,2,57,46,19,0,1,0,0
Physical Chess 1,13,11,2,53,42,23,0,3,0,0
Hong Kong Racketlon Association 1,13,7,6,43,36,29,0,0,0,0
Uncle,14,7,7,40,35,35,0,2,0,1
Squashathon,14,6,8,36,32,38,0,2,2,0
Happy Squash 2,13,5,8,34,29,36,5,3,0,0
The Squash Club 1,13,4,9,32,28,37,0,1,0,0
Hong Kong Football Club 5B,13,3,10,27,24,41,7,0,0,0
i-Mask Advance Squash Club 1,14,1,13,13,12,58,4,3,0,0
