Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,14,13,1,64,51,19,0,10,0,0
Alpha CUHK,14,10,4,60,50,20,0,3,0,0
South China Athletic Association,14,11,3,59,48,22,0,5,0,0
Winter Warriors,14,10,4,59,49,21,4,2,0,1
Hong Kong Football Club 12A,14,11,3,54,43,27,0,5,0,0
Sea Bear,14,8,6,50,42,28,0,3,0,0
ZOMA,14,4,10,33,29,41,0,7,0,0
Star River 2,13,5,8,31,26,39,0,9,0,0
Hong Kong Football Club 12B,14,4,10,28,25,45,2,9,1,0
Hong Kong Racketlon Assoication 2,14,4,10,25,21,49,14,1,0,1
CSD Squash Team,13,2,11,19,18,47,21,0,1,0
Latecomers,14,1,13,13,13,57,14,1,0,0
