Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,13,12,1,61,50,15,0,6,0,0
Greenfield,14,10,4,56,46,24,0,10,0,0
Royal Hong Kong Yacht Club Div 13,13,10,3,53,43,22,0,4,0,0
TNG 2,13,10,3,51,43,22,3,5,1,0
Squashathon PLZ,13,6,7,43,37,28,0,4,0,0
North District Sports Association 2,13,7,6,39,32,33,0,1,0,0
Arctic Circle,13,6,7,39,33,32,5,3,0,0
Bravo D13,12,5,7,31,26,34,5,7,0,0
M&M Squash,14,4,10,26,24,46,3,0,1,0
Vitality Squash 3,13,4,9,23,19,46,16,0,0,1
Physical Chess 4,12,2,10,22,20,40,9,1,0,0
Star River 3,13,2,11,19,17,48,0,0,0,1
