Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,14,14,0,75,61,9,1,2,0,5
Sha Tin 6,14,12,2,62,50,20,3,9,0,1
SocGen Squash,14,6,8,45,39,31,8,4,0,0
Fusion Squash Club 2,14,8,6,39,31,39,14,0,0,0
X-Alpha 5,14,7,7,39,37,33,0,16,5,0
Energy Squash Club 2,14,7,7,37,32,38,14,3,0,0
Energy Squash Club 1,14,5,9,37,33,37,4,8,1,0
Yuen Long District Sports Association Limited,13,5,8,35,30,35,0,18,0,0
HKIS Div 13,14,5,9,32,28,42,19,8,1,0
i-Mask Advance Squash Club 5,14,5,9,31,26,44,22,9,0,0
Happy Squash 4,14,5,9,30,25,45,0,7,0,1
Kinetic 4,13,4,9,27,23,42,3,4,0,0
