Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M2B,18,16,2,69,53,19
Hong Kong Football Club M2A,18,15,3,67,52,20
Hong Kong Cricket Club M2B,18,8,10,43,35,37
Hong Kong Cricket Club M2A,18,8,10,39,31,41
Ladies Recreation Club M2A,18,5,13,34,30,42
Ladies Recreation Club M2B,18,2,16,13,15,57
