Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,14,10,4,40,30,12
Hong Kong Football Club M1A,14,11,3,39,28,14
Hong Kong Cricket Club M1B,14,8,6,31,23,19
Hong Kong Cricket Club M1A,16,4,12,21,17,31
Ladies Recreation Club M1,14,3,11,13,10,32
