Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,avg_win_perc
Kowloon Cricket Club L2,90.0,70.0,80.0,85.71428571428571,81.42857142857143
Hong Kong Football Club L2A,70.0,90.0,70.0,88.88888888888889,79.72222222222223
Hong Kong Cricket Club L2A,30.0,70.0,90.0,37.5,56.875
Hong Kong Football Club L2C,50.0,30.0,30.0,25.0,33.75
Hong Kong Football Club L2B,50.0,20.0,10.0,37.5,29.375
Hong Kong Cricket Club L2B,10.0,20.0,20.0,25.0,18.75
