Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
Physical Chess 4,80.0,90.0,90.0,90.0,100.0,90.0
United Services Recreation Club 3,55.55555555555556,77.77777777777779,77.77777777777779,88.88888888888889,77.77777777777779,75.55555555555556
7NT,60.0,80.0,70.0,60.0,70.0,68.0
Hong Kong Cricket Club Rockers,80.0,70.0,50.0,60.0,50.0,62.0
Tuen Mun Squash Club,80.0,30.0,40.0,70.0,80.0,60.0
SKCSC,40.0,50.0,50.0,60.0,40.0,48.0
Hong Kong Football Club 15,30.0,50.0,50.0,40.0,40.0,42.0
The Squash Club 2,30.0,60.0,40.0,20.0,33.33333333333333,36.666666666666664
South China Athletic Association,40.0,30.0,40.0,30.0,22.22222222222222,32.44444444444444
Sha Tin Squash Rackets Club 5,70.0,20.0,20.0,30.0,20.0,32.0
TNG 2,20.0,20.0,20.0,40.0,40.0,28.0
Invader Squash,11.11111111111111,22.22222222222222,55.55555555555556,11.11111111111111,22.22222222222222,24.444444444444446
