Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
TNG 3,50.0,83.33333333333334,66.66666666666666,100.0,100.0,80.0
Electrify Squash Div 19,83.33333333333334,83.33333333333334,66.66666666666666,66.66666666666666,60.0,72.0
SocGen Squash,100.0,66.66666666666666,66.66666666666666,60.0,33.33333333333333,65.33333333333333
X-Alpha 6,66.66666666666666,0.0,60.0,100.0,100.0,65.33333333333333
Hong Kong International School D19,50.0,50.0,83.33333333333334,66.66666666666666,50.0,60.0
Hong Kong Football Club 19,66.66666666666666,50.0,66.66666666666666,33.33333333333333,75.0,58.33333333333333
8 Virtues + 1,20.0,40.0,40.0,75.0,50.0,45.0
The 8 Virtues,25.0,75.0,50.0,25.0,25.0,40.0
Sha Tin Squash Rackets Club 8,40.0,60.0,20.0,40.0,25.0,37.0
United Services Recreation Club 4,40.0,40.0,0.0,25.0,50.0,31.0
Squashathon 2,33.33333333333333,33.33333333333333,33.33333333333333,0.0,20.0,23.999999999999996
RELAY 2,0.0,20.0,20.0,20.0,25.0,17.0
