Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,8,8,0,41,33,7,0,0,0,0
United Services Recreation Club 2,8,6,2,33,27,13,0,0,0,0
Kowloon Cricket Club 6A,8,5,3,28,23,17,0,0,0,0
Hong Kong Cricket Club 4,8,5,3,28,23,17,0,0,0,0
Hong Kong Football Club 6B,8,4,4,24,20,20,0,0,0,0
Hong Kong Football Club 6A,8,4,4,22,18,22,0,0,0,0
Global Squash 1,8,3,5,18,15,25,0,0,0,0
Hong Kong Football Club 6C,8,2,6,18,16,24,0,0,0,0
Friend Club 3,8,2,6,18,16,24,0,0,0,0
Social Squash Team,8,1,7,10,9,31,0,0,0,0
