Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,8,8,0,38,30,10,0,0,0,0
X-Alpha 2,8,6,2,30,24,16,0,1,0,0
Physical Chess 1,7,6,1,28,22,13,0,3,0,0
Hong Kong Racketlon Association 1,8,5,3,27,22,18,0,0,0,0
Uncle,7,4,3,24,20,15,0,0,0,1
Happy Squash 2,8,3,5,22,19,21,1,0,0,0
Squashathon,8,3,5,19,17,23,0,2,1,0
Hong Kong Football Club 5B,8,2,6,18,16,24,4,0,0,0
The Squash Club 1,7,1,6,14,13,22,0,1,0,0
i-Mask Advance Squash Club 1,7,0,7,7,7,28,2,0,0,0
