Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,8,7,1,33,26,14,0,2,0,0
South China Athletic Association,8,6,2,33,27,13,0,3,0,0
Alpha CUHK,8,6,2,33,27,13,0,2,0,0
Winter Warriors,8,5,3,32,27,13,4,0,0,0
Hong Kong Football Club 12A,8,6,2,30,24,16,0,1,0,0
Sea Bear,8,4,4,27,23,17,0,0,0,0
Hong Kong Racketlon Assoication 2,8,3,5,20,17,23,3,1,0,1
Star River 2,8,4,4,19,15,25,0,6,0,0
ZOMA,8,2,6,19,17,23,0,4,0,0
Hong Kong Football Club 12B,8,2,6,17,15,25,0,3,0,0
CSD Squash Team,8,2,6,14,13,27,13,0,1,0
Latecomers,8,1,7,10,9,31,3,1,0,0
