Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kinetic 3,7,7,0,28,21,14,0,0,0,0
Sha Tin 5,6,6,0,27,21,9,0,0,0,0
BOSS,6,5,1,26,21,9,0,0,0,0
Star River 1,8,4,4,25,21,19,0,0,0,0
Tuen Mun Squash Club,8,4,4,24,20,20,0,0,0,0
Global Squash 2,7,4,3,23,19,16,0,0,0,0
The Squash Club 3,7,3,4,21,18,17,0,0,0,0
7NT,6,1,5,14,13,17,0,0,0,0
i-Mask Advance Squash Club 4,6,1,5,13,12,18,0,0,0,0
HKCC Tuesday Night Rockers,6,1,5,12,11,19,0,0,0,0
Invader Squash,7,1,6,9,8,27,0,0,0,0
