Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,8,7,1,37,30,10,0,6,0,0
Greenfield,8,7,1,36,29,11,0,5,0,0
TNG 2,8,7,1,35,28,12,3,4,0,0
Royal Hong Kong Yacht Club Div 13,8,6,2,33,27,13,0,3,0,0
Arctic Circle,8,4,4,24,20,20,5,3,0,0
Squashathon PLZ,8,3,5,24,21,19,0,2,0,0
North District Sports Association 2,8,4,4,23,19,21,0,0,0,0
Bravo D13,8,3,5,21,18,22,4,7,0,0
M&M Squash,8,3,5,17,15,25,0,0,0,0
Physical Chess 4,8,1,7,14,13,27,7,1,0,0
Vitality Squash 3,8,2,6,12,10,30,12,0,0,0
Star River 3,8,1,7,11,10,30,0,0,0,0
