Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,8,8,0,44,36,4,0,1,0,0
Sha Tin 6,8,7,1,37,30,10,2,6,0,0
X-Alpha 5,8,5,3,29,24,16,0,11,0,0
Yuen Long District Sports Association Limited,8,4,4,25,21,19,0,15,0,0
Fusion Squash Club 2,8,5,3,24,19,21,5,0,0,0
SocGen Squash,8,3,5,24,21,19,6,0,0,0
i-Mask Advance Squash Club 5,8,4,4,23,19,21,8,9,0,0
Energy Squash Club 1,8,3,5,21,18,22,4,8,0,0
Energy Squash Club 2,8,3,5,18,15,25,13,2,0,0
Kinetic 4,8,3,5,17,14,26,2,2,0,0
HKIS Div 13,8,2,6,15,13,27,16,0,0,0
Happy Squash 4,8,1,7,11,10,30,0,2,0,0
