Home Team,Away Team,Venue,Match Week,Date
Bravo D13,JSA 1,Yuen Long Jockey Club Squash Courts,2,2025-10-10
Smart Squash 2,Vitality Squash 2,Cornwall Street Squash Centre,2,2025-10-10
HKIS Div 13,NEXUS 3,HK Squash Centre,2,2025-10-10
i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 7,HK Squash Centre,2,2025-10-10
i-Mask Advance Squash Club 6,Smart Squash 3,HK Squash Centre,3,2025-10-17
Vitality Squash 2,JSA 1,HK Squash Centre,3,2025-10-17
HKIS Div 13,Smart Squash 2,Harbour Road Sports Centre,3,2025-10-17
NEXUS 3,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,3,2025-10-17
Smart Squash 3,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,4,2025-10-24
Smart Squash 2,Bravo D13,Cornwall Street Squash Centre,4,2025-10-24
i-Mask Advance Squash Club 6,HKIS Div 13,Java Road Sports Centre,4,2025-10-24
Vitality Squash 2,NEXUS 3,HK Squash Centre,4,2025-10-24
Smart Squash 2,NEXUS 3,Cornwall Street Squash Centre,5,2025-10-31
Vitality Squash 2,i-Mask Advance Squash Club 7,HK Squash Centre,5,2025-10-31
JSA 1,i-Mask Advance Squash Club 6,HK Squash Centre,5,2025-10-31
Bravo D13,Smart Squash 3,Yuen Long Jockey Club Squash Courts,5,2025-10-31
HKIS Div 13,Vitality Squash 2,HK Squash Centre,6,2025-11-07
Smart Squash 2,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,6,2025-11-07
i-Mask Advance Squash Club 7,Bravo D13,Cornwall Street Squash Centre,6,2025-11-07
JSA 1,Smart Squash 3,HK Squash Centre,6,2025-11-07
i-Mask Advance Squash Club 7,HKIS Div 13,Cornwall Street Squash Centre,7,2025-11-14
JSA 1,NEXUS 3,HK Squash Centre,7,2025-11-14
Smart Squash 3,Vitality Squash 2,Cornwall Street Squash Centre,7,2025-11-14
Bravo D13,i-Mask Advance Squash Club 6,Yuen Long Jockey Club Squash Courts,7,2025-11-14
Vitality Squash 2,Bravo D13,HK Squash Centre,8,2025-11-21
NEXUS 3,Smart Squash 3,Cornwall Street Squash Centre,8,2025-11-21
HKIS Div 13,JSA 1,HK Squash Centre,8,2025-11-21
Smart Squash 2,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,8,2025-11-21
JSA 1,Smart Squash 2,HK Squash Centre,9,2025-11-28
Smart Squash 3,HKIS Div 13,Cornwall Street Squash Centre,9,2025-11-28
NEXUS 3,Bravo D13,Cornwall Street Squash Centre,9,2025-11-28
i-Mask Advance Squash Club 6,Vitality Squash 2,Java Road Sports Centre,9,2025-11-28
Bravo D13,HKIS Div 13,Yuen Long Jockey Club Squash Courts,10,2025-12-12
i-Mask Advance Squash Club 7,JSA 1,Cornwall Street Squash Centre,10,2025-12-12
NEXUS 3,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,10,2025-12-12
Smart Squash 3,Smart Squash 2,Cornwall Street Squash Centre,10,2025-12-12
JSA 1,Bravo D13,Java Road Sports Centre,11,2025-12-19
Vitality Squash 2,Smart Squash 2,Java Road Sports Centre,11,2025-12-19
NEXUS 3,HKIS Div 13,Cornwall Street Squash Centre,11,2025-12-19
i-Mask Advance Squash Club 7,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,11,2025-12-19
Smart Squash 3,i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,12,2026-01-09
JSA 1,Vitality Squash 2,Harbour Road Sports Centre,12,2026-01-09
Smart Squash 2,HKIS Div 13,Cornwall Street Squash Centre,12,2026-01-09
i-Mask Advance Squash Club 7,NEXUS 3,Cornwall Street Squash Centre,12,2026-01-09
i-Mask Advance Squash Club 7,Smart Squash 3,Cornwall Street Squash Centre,13,2026-01-16
Bravo D13,Smart Squash 2,Yuen Long Jockey Club Squash Courts,13,2026-01-16
HKIS Div 13,i-Mask Advance Squash Club 6,HK Squash Centre,13,2026-01-16
NEXUS 3,Vitality Squash 2,Cornwall Street Squash Centre,13,2026-01-16
NEXUS 3,Smart Squash 2,Cornwall Street Squash Centre,14,2026-01-23
i-Mask Advance Squash Club 7,Vitality Squash 2,Cornwall Street Squash Centre,14,2026-01-23
i-Mask Advance Squash Club 6,JSA 1,HK Squash Centre,14,2026-01-23
Smart Squash 3,Bravo D13,Cornwall Street Squash Centre,14,2026-01-23
Vitality Squash 2,HKIS Div 13,HK Squash Centre,15,2026-01-30
i-Mask Advance Squash Club 6,Smart Squash 2,HK Squash Centre,15,2026-01-30
Bravo D13,i-Mask Advance Squash Club 7,Cornwall Street Squash Centre,15,2026-01-30
Smart Squash 3,JSA 1,Cornwall Street Squash Centre,15,2026-01-30
HKIS Div 13,i-Mask Advance Squash Club 7,HK Squash Centre,16,2026-02-06
NEXUS 3,JSA 1,Cornwall Street Squash Centre,16,2026-02-06
Vitality Squash 2,Smart Squash 3,HK Squash Centre,16,2026-02-06
i-Mask Advance Squash Club 6,Bravo D13,Java Road Sports Centre,16,2026-02-06
Bravo D13,Vitality Squash 2,Yuen Long Jockey Club Squash Courts,17,2026-02-13
Smart Squash 3,NEXUS 3,Cornwall Street Squash Centre,17,2026-02-13
JSA 1,HKIS Div 13,HK Squash Centre,17,2026-02-13
i-Mask Advance Squash Club 7,Smart Squash 2,Cornwall Street Squash Centre,17,2026-02-13
Smart Squash 2,JSA 1,Cornwall Street Squash Centre,18,2026-03-06
HKIS Div 13,Smart Squash 3,HK Squash Centre,18,2026-03-06
Bravo D13,NEXUS 3,Yuen Long Jockey Club Squash Courts,18,2026-03-06
Vitality Squash 2,i-Mask Advance Squash Club 6,HK Squash Centre,18,2026-03-06
