Team,Most Games,Most Wins,Highest Win Percentage
Hong Kong Cricket Club M3,"Griffiths John David, Mercalfe Stephen Fraser (7)",Poole-Wilson Michael (3),Poole-Wilson Michael (50.0%)
Hong Kong Football Club M3A,"Hathiramani Dinesh, Thompson John (9)",Thompson John (6),Yeung Tak Keung (100.0%)
Hong Kong Football Club M3B,Schultz Nikolaj (10),Schultz Nikolaj (7),Schultz Nikolaj (70.0%)
Kowloon Cricket Club M3,"Bachani Vinay Suresh, Choy Yuk Kwong Donnie (10)",Choy Yuk Kwong Donnie (5),Tsang Wai Kit Paul (57.1%)
Old Squash Fellows,Leung Dick Kan Fai (10),Leung Dick Kan Fai (9),Leung Dick Kan Fai (90.0%)
Royal Hong Kong Yacht Club M3,Cheng Victor Kwok Wai (10),"Ho Yiu Wah Hendry, Cheng Victor Kwok Wai (9)",Ho Yiu Wah Hendry (100.0%)
Titlows Squash Team,"Au Ming Chung Sampson, Yung Kai Sing (11)","Au Ming Chung Sampson, Lo Wai Kiu Bobby (4)",Lo Wai Kiu Bobby (40.0%)
United Services Recreation Club M3,Bidal Jay (10),Freeman Neil (9),"Freeman Neil, Cheng Jonathan Yee Fung, Lai Kwok Wai Wilfred (100.0%)"
