Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,"Wu Chi Wai, Wong Wai Ling Helen (8)",Wu Chi Wai (8),"Wu Chi Wai, Cheung Brian Sheung Yan (100.0%)"
Bravo D13,Chow Pui Sing (11),Chow Pui Sing (10),Chow Pui Sing (90.9%)
Greenfield,Chan Kwok Wa (10),Chan Kwok Wa (10),Chan Kwok Wa (100.0%)
M&M Squash,"Wong Marcus, Yim Yu Tak (9)",Wong Marcus (7),Wong Marcus (77.8%)
North District Sports Association 2,Leung Yat Hei (11),Dogra Vijendra Singh Balbirsing (7),Dogra Vijendra Singh Balbirsing (87.5%)
Physical Chess 4,Yuen Lok Hang (10),Yuen Lok Hang (8),Yuen Lok Hang (80.0%)
Royal Hong Kong Yacht Club Div 13,"Clayton Iain Michael, Zirah Pierre-Alexis Joachim (10)",Zirah Pierre-Alexis Joachim (9),Leung Keith Koon Chung (100.0%)
Squashathon PLZ,"Leung Hok Sum, Leung Ka Luen Wilson (9)",Leung Hok Sum (8),Leung Hok Sum (88.9%)
Star River 3,Wong Bao Kwong Chi (11),Wai Veronica Chi Man (6),Wai Veronica Chi Man (75.0%)
TNG 1,Kwok To Yan (8),"Luk Hoi Fai, Kwok To Yan (7)",Luk Hoi Fai (100.0%)
TNG 2,Chan Shun Ting (9),Chan Hong Ting (8),"Koon Long Ying, Chan Hong Ting (100.0%)"
Vitality Squash 3,"Tsoi Cheuk Hin Kieran, Luk Argen (9)",Chen Marshall Youpeng (5),Chen Marshall Youpeng (62.5%)
