Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Hong Kong Football Club 10B,Xavier,Hong Kong Football Club (HKFC),14,05/02/2018,2-3,"['1-3', '3-1', '1-3', '1-3', '3-1']",2,3,9,11
Friend Club 5,Head Shatin 3,Cornwall Street (CSPSC),14,05/02/2018,2-3,"['3-1', '1-3', '2-3', '0-3', '3-1']",2,3,9,11
Tuen Mun Squash Club 1,ISRC United 2,Tuen Mun Butterfly Beach (TMBBSC),14,05/02/2018,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2
Royal Hong Kong Yacht Club 10,The Zero Squash Club 2,Royal Hong Kong Yacht Club (RHKYC),14,05/02/2018,1-4,"['3-2', '0-3', '0-3', '0-3', '0-3']",1,4,3,14
ISRC United 2,Hong Kong Football Club 10B,HK Squash Centre (HKSC),15,26/02/2018,1-4,"['3-0', '0-3', '0-3', '1-3', '0-3']",1,4,4,12
The Zero Squash Club 2,Tuen Mun Squash Club 1,Cornwall Street (CSPSC),15,26/02/2018,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
Hong Kong Football Club 10A,Xavier,Hong Kong Football Club (HKFC),15,26/02/2018,1-4,"['0-3', '2-3', '0-3', '0-3', '3-0']",1,4,5,12
Head Shatin 3,The Hong Kong Jockey Club,Cornwall Street (CSPSC),15,26/02/2018,2-3,"['2-3', '2-3', '1-3', '3-1', '3-0']",2,3,11,10
Royal Hong Kong Yacht Club 10,Friend Club 5,Royal Hong Kong Yacht Club (RHKYC),15,26/02/2018,5-0,"['3-0', '3-1', '3-0', '3-2', '3-0']",5,0,15,3
ISRC United 2,Hong Kong Football Club 10A,HK Squash Centre (HKSC),16,05/03/2018,1-4,"['3-0', '1-3', '1-3', '0-3', '0-3']",1,4,5,12
Head Shatin 3,Xavier,Cornwall Street (CSPSC),16,05/03/2018,3-2,"['3-1', '1-3', '0-3', '3-2', '3-0']",3,2,10,9
Friend Club 5,The Hong Kong Jockey Club,Cornwall Street (CSPSC),16,05/03/2018,2-3,"['3-1', '1-3', '0-3', '3-1', '0-3']",2,3,7,11
Tuen Mun Squash Club 1,Royal Hong Kong Yacht Club 10,Tuen Mun Butterfly Beach (TMBBSC),16,05/03/2018,2-3,"['0-3', '2-3', '3-1', '3-1', '0-3']",2,3,8,11
Hong Kong Football Club 10B,The Zero Squash Club 2,Hong Kong Football Club (HKFC),16,05/03/2018,4-1,"['3-1', '3-1', '2-3', '3-0', '3-2']",4,1,14,7
Head Shatin 3,ISRC United 2,Cornwall Street (CSPSC),17,12/03/2018,5-0,"['3-2', '3-1', '3-0', '3-0', 'CR']",5,0,15,3
The Hong Kong Jockey Club,Xavier,HKJC Sha Tin Club House (HKJC),17,12/03/2018,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
The Zero Squash Club 2,Hong Kong Football Club 10A,Cornwall Street (CSPSC),17,12/03/2018,5-0,"['3-1', '3-2', '3-1', '3-0', '3-0']",5,0,15,4
Tuen Mun Squash Club 1,Friend Club 5,Tuen Mun Butterfly Beach (TMBBSC),17,12/03/2018,4-1,"['3-1', '0-3', '3-1', '3-0', '3-0']",4,1,12,5
Hong Kong Football Club 10B,Royal Hong Kong Yacht Club 10,Hong Kong Football Club (HKFC),17,12/03/2018,4-1,"['3-2', '3-1', '3-0', '3-1', '2-3']",4,1,14,7
Royal Hong Kong Yacht Club 10,Hong Kong Football Club 10A,Royal Hong Kong Yacht Club (RHKYC),18,19/03/2018,5-0,"['3-0', '3-2', '3-1', '3-1', '3-0']",5,0,15,4
Hong Kong Football Club 10B,Tuen Mun Squash Club 1,Hong Kong Football Club (HKFC),18,19/03/2018,4-1,"['3-1', '3-0', '3-0', '2-3', '3-1']",4,1,14,5
Friend Club 5,Xavier,Cornwall Street (CSPSC),18,19/03/2018,4-1,"['3-0', '3-1', '0-3', '3-0', '3-1']",4,1,12,5
Head Shatin 3,The Zero Squash Club 2,Cornwall Street (CSPSC),18,19/03/2018,4-1,"['3-0', '1-3', '3-2', '3-0', '3-1']",4,1,13,6
The Hong Kong Jockey Club,ISRC United 2,HKJC Sha Tin Club House (HKJC),18,19/03/2018,3-2,"['3-0', '3-2', '1-3', '0-3', '3-0']",3,2,10,8
