Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Friend Club 9,The Zero Squash Club 4,Pei Ho Street (PHSSC),7,01/12/2017,0-5,"['0-3', '0-3', '0-3', '2-3', '0-3']",0,5,2,15
CPS,Fung King 4,HK Squash Centre (HKSC),8,08/12/2017,1-4,"['0-3', '0-3', '1-3', '1-3', '3-1']",1,4,5,13
The Zero Squash Club 4,Dragonfly,Cornwall Street (CSPSC),8,08/12/2017,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
i-Mask Advance Squash Club 14,Vitality Squash 2,Cornwall Street (CSPSC),8,08/12/2017,4-1,"['2-3', '3-0', '3-0', '3-0', 'WO']",4,1,14,3
Kinetic 7,Dr. Squash 3,Kwun Chung (KCSC),8,08/12/2017,5-0,"['3-0', '3-0', '3-0', 'CR', 'CR']",5,0,15,0
Friend Club 9,Citra Squash Team,Pei Ho Street (PHSSC),8,08/12/2017,1-4,"['0-3', '0-3', '2-3', '0-3', '3-0']",1,4,5,12
CPS,Kinetic 7,Cornwall Street (CSPSC),9,15/12/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Fung King 4,Vitality Squash 2,Tai Wo Hau (TWHSC),9,15/12/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Dr. Squash 3,Friend Club 9,HK Squash Centre (HKSC),9,15/12/2017,4-1,"['3-1', '3-0', '1-3', '3-0', '3-0']",4,1,13,4
Citra Squash Team,The Zero Squash Club 4,Kwun Chung (KCSC),9,15/12/2017,2-3,"['3-2', '1-3', '3-1', 'WO', 'WO']",2,3,7,12
Dragonfly,i-Mask Advance Squash Club 14,Wai Tsuen (WTSC),9,15/12/2017,4-1,"['3-1', '3-1', '1-3', 'WO', 'WO']",4,1,13,5
The Zero Squash Club 4,i-Mask Advance Squash Club 14,Cornwall Street (CSPSC),10,05/01/2018,1-4,"['0-3', '1-3', '3-0', '1-3', '1-3']",1,4,6,12
CPS,Friend Club 9,Cornwall Street (CSPSC),10,05/01/2018,3-2,"['3-0', '0-3', '0-3', '3-0', '3-0']",3,2,9,6
Kinetic 7,Vitality Squash 2,Kwun Chung (KCSC),10,05/01/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Dr. Squash 3,Citra Squash Team,HK Squash Centre (HKSC),10,05/01/2018,1-4,"['0-3', '0-3', '1-3', '0-3', '3-0']",1,4,4,12
Dragonfly,Fung King 4,Wai Tsuen (WTSC),10,05/01/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Kinetic 7,Dragonfly,Kwun Chung (KCSC),11,12/01/2018,3-2,"['1-3', '3-1', '3-0', '2-3', '3-1']",3,2,12,8
Fung King 4,i-Mask Advance Squash Club 14,Cheung Fat (CFSC),11,12/01/2018,1-4,"['0-3', '0-3', '0-3', '3-1', '1-3']",1,4,4,13
Dr. Squash 3,The Zero Squash Club 4,HK Squash Centre (HKSC),11,12/01/2018,1-4,"['0-3', '3-0', 'WO', '0-3', '0-3']",1,4,3,12
CPS,Citra Squash Team,Cornwall Street (CSPSC),11,12/01/2018,2-3,"['0-3', '2-3', '2-3', 'WO', 'WO']",2,3,4,15
Kinetic 7,i-Mask Advance Squash Club 14,Kwun Chung (KCSC),12,19/01/2018,5-0,"['3-1', '3-2', '3-2', '3-1', '3-1']",5,0,15,7
CPS,Dr. Squash 3,Cornwall Street (CSPSC),12,19/01/2018,0-5,"['0-3', '2-3', '0-3', '0-3', '0-3']",0,5,2,15
The Zero Squash Club 4,Fung King 4,Cornwall Street (CSPSC),12,19/01/2018,2-3,"['2-3', '0-3', '0-3', '3-0', '3-0']",2,3,8,9
Vitality Squash 2,Citra Squash Team,HK Squash Centre (HKSC),12,19/01/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Dragonfly,Friend Club 9,Wai Tsuen (WTSC),12,19/01/2018,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
CPS,The Zero Squash Club 4,Cornwall Street (CSPSC),13,26/01/2018,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Citra Squash Team,Dragonfly,Kwun Chung (KCSC),13,26/01/2018,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
Dr. Squash 3,Vitality Squash 2,HK Squash Centre (HKSC),13,26/01/2018,3-2,"['1-3', '0-3', '3-0', '3-0', 'CR']",3,2,10,6
Friend Club 9,i-Mask Advance Squash Club 14,Pei Ho Street (PHSSC),13,26/01/2018,0-5,"['0-3', '0-3', '0-3', '1-3', '0-3']",0,5,1,15
The Zero Squash Club 4,Kinetic 7,Cornwall Street (CSPSC),14,02/02/2018,2-3,"['0-3', '2-3', '3-1', '1-3', '3-1']",2,3,9,11
Friend Club 9,Fung King 4,Pei Ho Street (PHSSC),14,02/02/2018,1-4,"['0-3', '0-3', '3-1', '1-3', '0-3']",1,4,4,13
i-Mask Advance Squash Club 14,Citra Squash Team,Cornwall Street (CSPSC),14,02/02/2018,5-0,"['CR', 'CR', 'CR', 'CR', 'CR']",5,0,15,0
Vitality Squash 2,CPS,HK Squash Centre (HKSC),14,02/02/2018,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15
