Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),1,10/10/2017,2-2,"['3-0', '0-3', '0-3', '3-0']",2,2,6,6
Hong Kong Football Club L2A,Giant 2,Hong Kong Football Club (HKFC),1,10/10/2017,1-3,"['3-1', '2-3', '0-3', '0-3']",1,3,5,10
Hong Kong Cricket Club L2,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),2,17/10/2017,3-1,"['3-0', '3-0', '3-0', '1-3']",3,1,10,3
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),2,17/10/2017,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12
Giant 2,Perrier Serigo Tacchini KCC L2,Pei Ho Street (PHSSC),2,17/10/2017,4-0,"['3-1', '3-0', '3-0', 'WO']",4,0,12,1
Giant 2,Hong Kong Cricket Club L2,Pei Ho Street (PHSSC),3,24/10/2017,2-2,"['0-3', '0-3', '3-0', '3-0']",2,2,6,6
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),3,24/10/2017,0-4,"['0-3', '2-3', '1-3', '1-3']",0,4,4,12
Hong Kong Football Club L2B,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),4,31/10/2017,2-2,"['3-0', '1-3', '0-3', '3-2']",2,2,7,8
Perrier Serigo Tacchini KCC L2,Hong Kong Football Club L2C,Kowloon Cricket Club (KCC),4,31/10/2017,2-2,"['2-3', '3-0', '0-3', '3-1']",2,2,8,7
Giant 2,Hong Kong Football Club L2B,Pei Ho Street (PHSSC),5,07/11/2017,4-0,"['3-2', '3-0', '3-0', '3-0']",4,0,12,2
Perrier Serigo Tacchini KCC L2,Hong Kong Cricket Club L2,Kowloon Cricket Club (KCC),5,07/11/2017,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12
Giant 2,Hong Kong Football Club L2C,Pei Ho Street (PHSSC),6,21/11/2017,4-0,"['3-1', '3-0', '3-0', '3-0']",4,0,12,1
Hong Kong Football Club L2A,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),6,21/11/2017,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L2A,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),7,28/11/2017,0-4,"['0-3', '0-3', '2-3', '1-3']",0,4,3,12
Perrier Serigo Tacchini KCC L2,Hong Kong Football Club L2B,Kowloon Cricket Club (KCC),7,28/11/2017,3-1,"['1-3', '3-0', '3-0', '3-1']",3,1,10,4
Giant 2,Hong Kong Football Club L2A,Pei Ho Street (PHSSC),8,05/12/2017,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L2B,Hong Kong Football Club L2C,Hong Kong Football Club (HKFC),8,05/12/2017,1-3,"['3-2', '0-3', '0-3', '0-3']",1,3,3,11
Hong Kong Football Club L2B,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),9,12/12/2017,2-2,"['1-3', '3-0', '0-3', '3-0']",2,2,7,6
Perrier Serigo Tacchini KCC L2,Giant 2,Kowloon Cricket Club (KCC),9,12/12/2017,0-4,"['1-3', '0-3', '0-3', 'WO']",0,4,1,12
Hong Kong Football Club L2C,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),9,12/12/2017,1-3,"['3-2', '0-3', '0-3', '0-3']",1,3,3,11
Hong Kong Cricket Club L2,Giant 2,Hong Kong Cricket Club (HKCC),10,02/01/2018,4-0,"['3-0', '3-2', '3-0', 'CR']",4,0,12,2
Hong Kong Football Club L2A,Hong Kong Football Club L2C,Hong Kong Football Club (HKFC),10,02/01/2018,1-3,"['2-3', '0-3', '0-3', '3-0']",1,3,5,9
Hong Kong Cricket Club L2,Hong Kong Football Club L2B,Hong Kong Cricket Club (HKCC),11,09/01/2018,2-2,"['1-3', '3-0', '3-0', '1-3']",2,2,8,6
Hong Kong Football Club L2C,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),11,09/01/2018,2-2,"['3-2', '0-3', '3-0', '1-3']",2,2,7,8
Hong Kong Football Club L2B,Giant 2,Hong Kong Football Club (HKFC),12,16/01/2018,1-3,"['0-3', '0-3', '0-3', '3-0']",1,3,3,9
Hong Kong Cricket Club L2,Perrier Serigo Tacchini KCC L2,Hong Kong Cricket Club (HKCC),12,16/01/2018,3-1,"['3-0', '1-3', '3-0', '3-0']",3,1,10,3
Giant 2,Hong Kong Football Club L2C,Pei Ho Street (PHSSC),13,23/01/2018,4-0,"['WO', 'WO', 'WO', 'WO']",4,0,12,0
Perrier Serigo Tacchini KCC L2,Hong Kong Football Club L2A,Kowloon Cricket Club (KCC),13,23/01/2018,2-2,"['3-1', '3-1', '1-3', '1-3']",2,2,8,8
Perrier Serigo Tacchini KCC L2,Hong Kong Football Club L2B,Kowloon Cricket Club (KCC),14,30/01/2018,2-2,"['1-3', '3-0', '3-1', '0-3']",2,2,7,7
Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),14,30/01/2018,3-1,"['3-0', '3-0', '3-0', '2-3']",3,1,11,3
Giant 2,Hong Kong Football Club L2A,Pei Ho Street (PHSSC),15,06/02/2018,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L2C,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),15,06/02/2018,1-3,"['0-3', '0-3', '3-0', '0-3']",1,3,3,9
Hong Kong Football Club L2A,Hong Kong Football Club L2B,Hong Kong Football Club (HKFC),16,27/02/2018,2-2,"['3-1', '0-3', '1-3', '3-2']",2,2,7,9
Hong Kong Cricket Club L2,Hong Kong Football Club L2C,Hong Kong Cricket Club (HKCC),16,27/02/2018,3-1,"['3-0', '3-0', '3-1', '1-3']",3,1,10,4
Giant 2,Perrier Serigo Tacchini KCC L2,Pei Ho Street (PHSSC),16,27/02/2018,4-0,"['3-0', '3-2', 'CR', 'CR']",4,0,12,2
Giant 2,Hong Kong Cricket Club L2,Pei Ho Street (PHSSC),17,06/03/2018,0-4,"['1-3', '1-3', '1-3', 'CR']",0,4,3,12
Hong Kong Football Club L2C,Hong Kong Football Club L2A,Hong Kong Football Club (HKFC),17,06/03/2018,1-3,"['0-3', '3-1', '2-3', '0-3']",1,3,5,10
Perrier Serigo Tacchini KCC L2,Hong Kong Football Club L2C,Kowloon Cricket Club (KCC),18,13/03/2018,4-0,"['3-0', '3-0', '3-0', 'CR']",4,0,12,0
Hong Kong Football Club L2B,Hong Kong Cricket Club L2,Hong Kong Football Club (HKFC),18,13/03/2018,1-3,"['1-3', '0-3', '0-3', '3-1']",1,3,4,10
Hong Kong Football Club L2B,Giant 2,Hong Kong Football Club (HKFC),19,20/03/2018,1-3,"['3-1', '0-3', '0-3', '0-3']",1,3,3,10
Perrier Serigo Tacchini KCC L2,Hong Kong Cricket Club L2,Kowloon Cricket Club (KCC),19,20/03/2018,2-2,"['0-3', '1-3', '3-0', '3-0']",2,2,7,6
Hong Kong Football Club L2C,Giant 2,Hong Kong Football Club (HKFC),20,10/04/2018,1-3,"['3-0', '1-3', '1-3', '0-3']",1,3,5,9
Hong Kong Football Club L2A,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),20,10/04/2018,2-2,"['0-3', '0-3', 'CR', 'CR']",2,2,0,12
Hong Kong Cricket Club L2,Hong Kong Football Club L2A,Hong Kong Cricket Club (HKCC),21,17/04/2018,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L2B,Perrier Serigo Tacchini KCC L2,Hong Kong Football Club (HKFC),21,17/04/2018,3-1,"['3-0', '0-3', 'CR', 'CR']",3,1,9,3
