Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Sprouts,i-Mask Advance Squash Club 15,HK Squash Centre (HKSC),1,07/10/2017,3-2,"['0-3', '0-3', '3-0', '3-0', '3-1']",3,2,9,7
JAMS,Kwai Tsing District Squash Club 4,HK Squash Centre (HKSC),1,07/10/2017,0-5,"['0-3', '0-3', '1-3', '2-3', '0-3']",0,5,3,15
Vocano,Spirit 5,Kwun Chung (KCSC),1,07/10/2017,3-2,"['3-0', '3-1', '3-1', '1-3', '0-3']",3,2,10,8
ALL ABOUT SQUASH,Firebird,HK Squash Centre (HKSC),1,07/10/2017,5-0,"['WO', 'WO', 'WO', 'WO', 'WO']",5,0,15,0
Yuen Long Jr 3,Royal,Sir Denys Roberts (SDRSC),1,07/10/2017,2-3,"['0-3', '0-3', '3-2', '2-3', '3-1']",2,3,8,12
Hong Kong Cricket Club Junior 2,SKYERS,Hong Kong Cricket Club (HKCC),1,07/10/2017,4-1,"['1-3', '3-0', '3-0', 'WO', 'WO']",4,1,13,3
Sprouts,Royal,HK Squash Centre (HKSC),2,14/10/2017,3-2,"['0-3', '3-0', '0-3', '3-2', '3-2']",3,2,9,10
SKYERS,JAMS,HK Squash Centre (HKSC),2,14/10/2017,4-1,"['3-1', '1-3', '3-0', '3-0', 'WO']",4,1,13,4
ALL ABOUT SQUASH,Yuen Long Jr 3,HK Squash Centre (HKSC),2,14/10/2017,1-4,"['3-0', '0-3', '0-3', '0-3', '0-3']",1,4,3,12
Kwai Tsing District Squash Club 4,Firebird,Cornwall Street (CSPSC),2,14/10/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
i-Mask Advance Squash Club 15,Spirit 5,Cornwall Street (CSPSC),2,14/10/2017,5-0,"['3-0', '3-0', '3-0', '3-1', 'WO']",5,0,15,1
Vocano,Hong Kong Cricket Club Junior 2,Kwun Chung (KCSC),2,14/10/2017,2-3,"['3-0', '2-3', '0-3', '1-3', '3-0']",2,3,9,9
Spirit 5,Sprouts,HK Squash Centre (HKSC),3,11/11/2017,1-4,"['1-3', '0-3', '0-3', '3-0', '0-3']",1,4,4,12
JAMS,Vocano,HK Squash Centre (HKSC),3,11/11/2017,3-2,"['3-0', '0-3', '3-0', '3-0', '2-3']",3,2,11,6
Firebird,SKYERS,Cornwall Street (CSPSC),3,11/11/2017,2-3,"['0-3', '3-0', '3-0', '0-3', '0-3']",2,3,6,9
Royal,ALL ABOUT SQUASH,Kwun Chung (KCSC),3,11/11/2017,2-3,"['0-3', '1-3', '3-0', '0-3', '3-1']",2,3,7,10
Yuen Long Jr 3,Kwai Tsing District Squash Club 4,Sir Denys Roberts (SDRSC),3,11/11/2017,2-3,"['1-3', '3-2', '0-3', '1-3', '3-2']",2,3,8,13
Hong Kong Cricket Club Junior 2,i-Mask Advance Squash Club 15,Hong Kong Cricket Club (HKCC),3,11/11/2017,5-0,"['3-1', '3-0', '3-0', '3-1', 'WO']",5,0,15,2
SKYERS,Yuen Long Jr 3,HK Squash Centre (HKSC),4,25/11/2017,3-2,"['2-3', '3-0', '3-0', '3-2', 'WO']",3,2,14,5
Spirit 5,Hong Kong Cricket Club Junior 2,HK Squash Centre (HKSC),4,25/11/2017,0-5,"['0-3', '1-3', '0-3', '0-3', 'WO']",0,5,1,15
Sprouts,ALL ABOUT SQUASH,HK Squash Centre (HKSC),4,25/11/2017,4-1,"['3-0', '0-3', '3-0', '3-0', '3-1']",4,1,12,4
Kwai Tsing District Squash Club 4,Royal,Cornwall Street (CSPSC),4,25/11/2017,2-3,"['3-0', '3-0', '1-3', '2-3', '0-3']",2,3,9,9
i-Mask Advance Squash Club 15,JAMS,Cornwall Street (CSPSC),4,25/11/2017,4-1,"['3-1', '3-1', '3-0', '2-3', '3-0']",4,1,14,5
Firebird,Vocano,Cornwall Street (CSPSC),4,25/11/2017,3-2,"['3-0', '0-3', '3-0', '0-3', '3-0']",3,2,9,6
JAMS,Spirit 5,Cornwall Street (CSPSC),5,02/12/2017,2-3,"['0-3', '3-2', '1-3', 'WO', 'WO']",2,3,4,14
