Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Kinetic 6,Mad Hatters,HK Squash Centre (HKSC),1,10/10/2017,5-0,"['3-1', '3-0', '3-1', '3-0', 'WO']",5,0,15,2
Head Shatin 5,Progressive Squash Club,Cornwall Street (CSPSC),1,10/10/2017,3-2,"['3-2', '1-3', '3-0', '2-3', '3-0']",3,2,12,8
Hong Kong Fire Service 2,7NT,Pei Ho Street (PHSSC),1,10/10/2017,5-0,"['3-0', '3-1', '3-0', '3-2', '3-0']",5,0,15,3
Progressive Squash Club,Hong Kong Fire Service 2,HK Squash Centre (HKSC),2,17/10/2017,3-2,"['1-3', '3-2', '0-3', '3-0', '3-1']",3,2,10,9
Mad Hatters,Head Shatin 5,Harbour Road (HRSC),2,17/10/2017,4-1,"['3-0', '3-0', '2-3', '3-1', '3-0']",4,1,14,4
Kwai Tsing District Squash Club 2,Kinetic 6,Cornwall Street (CSPSC),2,17/10/2017,3-2,"['0-3', '0-3', '3-2', '3-2', '3-0']",3,2,9,10
Head Shatin 5,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),3,24/10/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '1-3']",0,5,1,15
7NT,Progressive Squash Club,Cornwall Street (CSPSC),3,24/10/2017,2-3,"['0-3', '0-3', '3-0', '0-3', '3-2']",2,3,6,11
Hong Kong Fire Service 2,Mad Hatters,Pei Ho Street (PHSSC),3,24/10/2017,4-1,"['0-3', '3-1', '3-2', '3-0', '3-0']",4,1,12,6
Kinetic 6,Head Shatin 5,HK Squash Centre (HKSC),4,31/10/2017,4-1,"['3-0', '3-0', '3-0', '3-2', '1-3']",4,1,13,5
Mad Hatters,7NT,Harbour Road (HRSC),4,31/10/2017,5-0,"['3-1', '3-0', '3-2', '3-0', '3-0']",5,0,15,3
Kwai Tsing District Squash Club 2,Hong Kong Fire Service 2,Cornwall Street (CSPSC),4,31/10/2017,4-1,"['3-0', '3-0', '1-3', '3-0', '3-0']",4,1,13,3
Progressive Squash Club,Mad Hatters,HK Squash Centre (HKSC),5,07/11/2017,0-5,"['2-3', '0-3', '2-3', '1-3', '1-3']",0,5,6,15
7NT,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),5,07/11/2017,1-4,"['3-2', '1-3', '1-3', '0-3', 'CR']",1,4,5,14
Hong Kong Fire Service 2,Kinetic 6,Pei Ho Street (PHSSC),5,07/11/2017,2-3,"['2-3', '3-2', '3-2', '0-3', '0-3']",2,3,8,13
Kinetic 6,7NT,HK Squash Centre (HKSC),6,21/11/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Kwai Tsing District Squash Club 2,Progressive Squash Club,Cornwall Street (CSPSC),6,21/11/2017,3-2,"['1-3', '3-0', '2-3', '3-0', '3-0']",3,2,12,6
Head Shatin 5,Hong Kong Fire Service 2,Cornwall Street (CSPSC),6,21/11/2017,2-3,"['1-3', '0-3', '3-2', '0-3', 'WO']",2,3,4,14
Progressive Squash Club,Kinetic 6,HK Squash Centre (HKSC),7,28/11/2017,1-4,"['0-3', '0-3', '0-3', '0-3', '3-2']",1,4,3,14
Mad Hatters,Kwai Tsing District Squash Club 2,Harbour Road (HRSC),7,28/11/2017,1-4,"['3-1', '2-3', '0-3', '0-3', '1-3']",1,4,6,13
7NT,Head Shatin 5,Cornwall Street (CSPSC),7,28/11/2017,1-4,"['3-1', '2-3', '1-3', '2-3', '0-3']",1,4,8,13
Progressive Squash Club,Head Shatin 5,HK Squash Centre (HKSC),8,05/12/2017,2-3,"['3-1', '3-0', '1-3', '0-3', '2-3']",2,3,9,10
Mad Hatters,Kinetic 6,Harbour Road (HRSC),8,05/12/2017,3-2,"['0-3', '3-2', '1-3', '3-0', '3-0']",3,2,10,8
7NT,Hong Kong Fire Service 2,Cornwall Street (CSPSC),8,05/12/2017,0-5,"['0-3', '0-3', '2-3', '1-3', '1-3']",0,5,4,15
Kinetic 6,Kwai Tsing District Squash Club 2,HK Squash Centre (HKSC),9,12/12/2017,3-2,"['3-0', '3-0', '0-3', '3-0', '0-3']",3,2,9,6
Head Shatin 5,Mad Hatters,Cornwall Street (CSPSC),9,12/12/2017,3-2,"['2-3', '3-2', '3-1', '3-0', '0-3']",3,2,11,9
Hong Kong Fire Service 2,Progressive Squash Club,Pei Ho Street (PHSSC),9,12/12/2017,1-4,"['2-3', '1-3', '2-3', '3-0', '0-3']",1,4,8,12
Progressive Squash Club,7NT,HK Squash Centre (HKSC),10,02/01/2018,4-1,"['3-0', '3-1', '1-3', '3-1', '3-0']",4,1,13,5
Mad Hatters,Hong Kong Fire Service 2,Harbour Road (HRSC),10,02/01/2018,1-4,"['0-3', '3-1', '1-3', '1-3', '0-3']",1,4,5,13
Kwai Tsing District Squash Club 2,Head Shatin 5,Cornwall Street (CSPSC),10,02/01/2018,4-1,"['3-0', '2-3', '3-0', '3-1', '3-0']",4,1,14,4
7NT,Mad Hatters,Cornwall Street (CSPSC),11,09/01/2018,1-4,"['1-3', '0-3', '1-3', '2-3', '3-0']",1,4,7,12
Head Shatin 5,Kinetic 6,Cornwall Street (CSPSC),11,09/01/2018,1-3,"['3-2', '1-3', '2-3', '0-3']",1,3,6,11
Hong Kong Fire Service 2,Kwai Tsing District Squash Club 2,Pei Ho Street (PHSSC),11,09/01/2018,1-4,"['3-0', '1-3', '2-3', '0-3', '0-3']",1,4,6,12
Kinetic 6,Hong Kong Fire Service 2,HK Squash Centre (HKSC),12,16/01/2018,1-4,"['2-3', '0-3', '1-3', '3-1', '0-3']",1,4,6,13
Mad Hatters,Progressive Squash Club,Harbour Road (HRSC),12,16/01/2018,1-4,"['3-2', '1-3', '0-3', '1-3', '0-3']",1,4,5,14
Kwai Tsing District Squash Club 2,7NT,Cornwall Street (CSPSC),12,16/01/2018,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Progressive Squash Club,Kwai Tsing District Squash Club 2,HK Squash Centre (HKSC),13,23/01/2018,1-4,"['1-3', '0-3', '0-3', '0-3', '3-2']",1,4,4,14
7NT,Kinetic 6,Cornwall Street (CSPSC),13,23/01/2018,4-1,"['3-0', '0-3', '3-2', '3-0', '3-0']",4,1,12,5
Hong Kong Fire Service 2,Head Shatin 5,Pei Ho Street (PHSSC),13,23/01/2018,2-3,"['1-3', '1-3', '3-0', '1-3', '3-1']",2,3,9,10
Kinetic 6,Progressive Squash Club,HK Squash Centre (HKSC),14,30/01/2018,3-2,"['3-1', '3-1', '0-3', '1-3', '3-0']",3,2,10,8
Head Shatin 5,7NT,Cornwall Street (CSPSC),14,30/01/2018,5-0,"['3-1', '3-1', '3-0', '3-0', '3-2']",5,0,15,4
Kwai Tsing District Squash Club 2,Mad Hatters,Cornwall Street (CSPSC),14,30/01/2018,4-1,"['3-0', '3-1', '3-2', '3-0', '1-3']",4,1,13,6
Kinetic 6,Mad Hatters,HK Squash Centre (HKSC),15,06/02/2018,3-2,"['3-1', '0-3', '0-3', '3-1', '3-1']",3,2,9,9
Head Shatin 5,Progressive Squash Club,Cornwall Street (CSPSC),15,06/02/2018,1-4,"['0-3', '0-3', '0-3', '0-3', '3-2']",1,4,3,14
Hong Kong Fire Service 2,7NT,Pei Ho Street (PHSSC),15,06/02/2018,3-2,"['3-0', '3-2', '0-3', '3-0', 'CR']",3,2,12,5
Progressive Squash Club,Hong Kong Fire Service 2,HK Squash Centre (HKSC),16,27/02/2018,5-0,"['3-2', '3-0', 'CR', 'CR', 'CR']",5,0,15,2
Mad Hatters,Head Shatin 5,Harbour Road (HRSC),16,27/02/2018,1-4,"['3-2', '2-3', '0-3', '1-3', '0-3']",1,4,6,14
Kwai Tsing District Squash Club 2,Kinetic 6,Cornwall Street (CSPSC),16,27/02/2018,4-1,"['1-3', '3-1', '3-0', '3-1', '3-0']",4,1,13,5
Head Shatin 5,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),17,06/03/2018,1-4,"['2-3', '0-3', '0-3', '0-3', '3-1']",1,4,5,13
7NT,Progressive Squash Club,Cornwall Street (CSPSC),17,06/03/2018,0-5,"['0-3', '0-3', '1-3', '1-3', '0-3']",0,5,2,15
Hong Kong Fire Service 2,Mad Hatters,Pei Ho Street (PHSSC),17,06/03/2018,4-1,"['3-0', '3-0', '3-2', '1-3', '3-1']",4,1,13,6
Kinetic 6,Head Shatin 5,HK Squash Centre (HKSC),18,13/03/2018,3-2,"['1-3', '3-1', '3-0', '0-3', '3-0']",3,2,10,7
Kwai Tsing District Squash Club 2,Hong Kong Fire Service 2,Cornwall Street (CSPSC),18,13/03/2018,3-2,"['3-2', '2-3', '3-1', '3-0', '0-3']",3,2,11,9
Progressive Squash Club,Mad Hatters,HK Squash Centre (HKSC),19,20/03/2018,3-2,"['3-1', '3-1', '2-3', '1-3', '3-0']",3,2,12,8
7NT,Kwai Tsing District Squash Club 2,Cornwall Street (CSPSC),19,20/03/2018,0-5,"['0-3', '0-3', '1-3', '0-3', '1-3']",0,5,2,15
Hong Kong Fire Service 2,Kinetic 6,Pei Ho Street (PHSSC),19,20/03/2018,3-2,"['3-0', '1-3', '3-0', '0-3', '3-1']",3,2,10,7
Kinetic 6,7NT,HK Squash Centre (HKSC),20,10/04/2018,5-0,"['3-0', '3-0', '3-1', '3-1', '3-0']",5,0,15,2
Head Shatin 5,Hong Kong Fire Service 2,Cornwall Street (CSPSC),20,10/04/2018,2-3,"['0-3', '0-3', '3-0', '2-3', '3-1']",2,3,8,10
Kwai Tsing District Squash Club 2,Progressive Squash Club,Cornwall Street (CSPSC),20,10/04/2018,2-3,"['2-3', '3-0', '3-1', '2-3', '0-3']",2,3,10,10
Progressive Squash Club,Kinetic 6,HK Squash Centre (HKSC),21,17/04/2018,3-2,"['3-1', '2-3', '3-0', '3-1', '0-3']",3,2,11,8
Mad Hatters,Kwai Tsing District Squash Club 2,Harbour Road (HRSC),21,17/04/2018,1-4,"['2-3', '1-3', '1-3', '3-1', '0-3']",1,4,7,13
