Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
JAWS Master,Hong Kong Cricket Club M3,Masters - HK Squash Centre (M - HKSC),1,12/10/2017,2-3,"['3-1', '0-3', '0-3', '3-1', '0-3']",2,3,6,11
Hong Kong Football Club M3B,Hong Kong Football Club M3A,Hong Kong Football Club (HKFC),1,12/10/2017,3-2,"['3-1', '3-1', '2-3', '1-3', '3-0']",3,2,12,8
The Hong Kong Jockey Club,Sovereign Group LRC M3,HKJC Sha Tin Club House (HKJC),1,12/10/2017,2-3,"['1-3', '1-3', '0-3', '3-0', '3-0']",2,3,8,9
Hong Kong Cricket Club M3,USRC M3,Hong Kong Cricket Club (HKCC),2,19/10/2017,1-4,"['0-3', '1-3', '3-1', '0-3', '1-3']",1,4,5,13
Hong Kong Football Club M3A,The Hong Kong Jockey Club,Hong Kong Football Club (HKFC),2,19/10/2017,4-1,"['3-1', '3-1', '3-1', '3-0', '1-3']",4,1,13,6
Sovereign Group LRC M3,JAWS Master,Ladies Recreation Club (LRC),2,19/10/2017,5-0,"['3-0', '3-0', '3-0', '3-1', '3-0']",5,0,15,1
Hong Kong Cricket Club M3,The Hong Kong Jockey Club,Hong Kong Cricket Club (HKCC),3,26/10/2017,3-2,"['3-0', '3-0', '1-3', '3-0', '0-3']",3,2,10,6
Sovereign Group LRC M3,Hong Kong Football Club M3B,Ladies Recreation Club (LRC),3,26/10/2017,4-1,"['3-0', '3-1', '3-2', '1-3', '3-0']",4,1,13,6
USRC M3,JAWS Master,United Services Recreation Club (USRC),3,26/10/2017,3-2,"['1-3', '3-1', '0-3', '3-1', '3-0']",3,2,10,8
Hong Kong Football Club M3A,Sovereign Group LRC M3,Hong Kong Football Club (HKFC),4,02/11/2017,3-2,"['1-3', '3-2', '3-1', '1-3', '3-0']",3,2,11,9
Hong Kong Cricket Club M3,Hong Kong Football Club M3B,Hong Kong Cricket Club (HKCC),4,02/11/2017,1-4,"['2-3', '3-0', '0-3', '0-3', '0-3']",1,4,5,12
The Hong Kong Jockey Club,USRC M3,HKJC Sha Tin Club House (HKJC),4,02/11/2017,4-1,"['3-0', '3-2', '3-1', '0-3', '3-0']",4,1,12,6
JAWS Master,The Hong Kong Jockey Club,Masters - HK Squash Centre (M - HKSC),5,09/11/2017,1-4,"['3-2', '0-3', '2-3', '0-3', '1-3']",1,4,6,14
Hong Kong Cricket Club M3,Hong Kong Football Club M3A,Hong Kong Cricket Club (HKCC),5,09/11/2017,3-2,"['3-1', '3-0', '0-3', '1-3', '3-1']",3,2,10,8
Hong Kong Football Club M3B,USRC M3,Hong Kong Football Club (HKFC),5,09/11/2017,3-2,"['3-1', '3-0', '2-3', '0-3', '3-0']",3,2,11,7
Hong Kong Football Club M3B,JAWS Master,Hong Kong Football Club (HKFC),6,23/11/2017,4-1,"['3-1', '3-2', '3-0', '3-1', '2-3']",4,1,14,7
USRC M3,Hong Kong Football Club M3A,United Services Recreation Club (USRC),6,23/11/2017,3-2,"['1-3', '0-3', '3-2', '3-1', '3-0']",3,2,10,9
Sovereign Group LRC M3,Hong Kong Cricket Club M3,Ladies Recreation Club (LRC),6,23/11/2017,4-1,"['3-1', '3-0', '3-0', '2-3', '3-0']",4,1,14,4
JAWS Master,Hong Kong Football Club M3A,Masters - HK Squash Centre (M - HKSC),7,30/11/2017,0-5,"['2-3', '0-3', '0-3', '0-3', '0-3']",0,5,2,15
Hong Kong Football Club M3B,The Hong Kong Jockey Club,Hong Kong Football Club (HKFC),7,30/11/2017,3-2,"['3-0', '3-1', '3-1', '2-3', '2-3']",3,2,13,8
USRC M3,Sovereign Group LRC M3,United Services Recreation Club (USRC),7,30/11/2017,1-4,"['0-3', '1-3', '0-3', '0-3', '3-2']",1,4,4,14
Hong Kong Cricket Club M3,JAWS Master,Hong Kong Cricket Club (HKCC),8,07/12/2017,4-1,"['3-2', '3-1', '3-2', '3-0', '0-3']",4,1,12,8
Hong Kong Football Club M3A,Hong Kong Football Club M3B,Hong Kong Football Club (HKFC),8,07/12/2017,0-5,"['0-3', '1-3', '0-3', '0-3', '0-3']",0,5,1,15
