Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Gloma,Hong Kong Club Blue,Masters - HK Squash Centre (M - HKSC),1,12/10/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
WAKO Senior,Alpha CUHK MASTER,Masters - Java Road (M - JRSC),1,12/10/2017,3-2,"['1-3', '3-0', '1-3', '3-0', '3-2']",3,2,11,8
Hong Kong Cricket Club Young Masters,Bolton,Hong Kong Cricket Club (HKCC),1,12/10/2017,4-1,"['0-3', '3-1', '3-0', '3-2', '3-0']",4,1,12,6
Perrier Serigo Tacchini KCC M4,Royal Hong Kong Yacht Club M4,Kowloon Cricket Club (KCC),1,12/10/2017,5-0,"['3-0', '3-0', '3-0', '3-1', '3-0']",5,0,15,1
Alpha CUHK MASTER,Gloma,Chinese University of HK (CUHK),2,19/10/2017,4-1,"['3-2', '3-1', '0-3', '3-2', '3-0']",4,1,12,8
Hong Kong Club Blue,Royal Hong Kong Yacht Club M4,HK CLUB,2,19/10/2017,3-2,"['3-1', '0-3', '0-3', '3-0', '3-0']",3,2,9,7
WAKO Senior,Hong Kong Football Club M4,Masters - Java Road (M - JRSC),2,19/10/2017,4-1,"['3-0', '3-0', '0-3', '3-0', '3-0']",4,1,12,3
Perrier Serigo Tacchini KCC M4,Hong Kong Cricket Club Young Masters,Kowloon Cricket Club (KCC),2,19/10/2017,4-1,"['3-0', '3-1', '0-3', '3-0', '3-0']",4,1,12,4
Bolton,Perrier Serigo Tacchini KCC M4,Masters - HK Squash Centre (M - HKSC),3,26/10/2017,0-5,"['1-3', '0-3', '0-3', '0-3', '0-3']",0,5,1,15
Gloma,Hong Kong Football Club M4,Masters - HK Squash Centre (M - HKSC),3,26/10/2017,4-1,"['3-0', '3-0', '3-0', '0-3', '3-0']",4,1,12,3
Hong Kong Cricket Club Young Masters,Hong Kong Club Blue,Hong Kong Cricket Club (HKCC),3,26/10/2017,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1
Royal Hong Kong Yacht Club M4,Alpha CUHK MASTER,Royal Hong Kong Yacht Club (RHKYC),3,26/10/2017,2-3,"['0-3', '2-3', '3-1', '3-0', '0-3']",2,3,8,10
Hong Kong Football Club M4,Royal Hong Kong Yacht Club M4,Hong Kong Football Club (HKFC),4,02/11/2017,3-2,"['3-1', '1-3', '3-0', '1-3', '3-0']",3,2,11,7
Gloma,WAKO Senior,Masters - HK Squash Centre (M - HKSC),4,02/11/2017,3-2,"['0-3', '3-0', '1-3', '3-2', '3-0']",3,2,10,8
Alpha CUHK MASTER,Hong Kong Cricket Club Young Masters,Chinese University of HK (CUHK),4,02/11/2017,4-1,"['3-0', '3-0', '3-1', '3-0', '1-3']",4,1,13,4
Hong Kong Club Blue,Bolton,HK CLUB,4,02/11/2017,1-4,"['0-3', '1-3', '0-3', '3-0', '2-3']",1,4,6,12
Perrier Serigo Tacchini KCC M4,Hong Kong Club Blue,Kowloon Cricket Club (KCC),5,09/11/2017,5-0,"['3-1', '3-0', '3-2', '3-0', '3-0']",5,0,15,3
Bolton,Alpha CUHK MASTER,Masters - HK Squash Centre (M - HKSC),5,09/11/2017,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15
Hong Kong Cricket Club Young Masters,Hong Kong Football Club M4,Hong Kong Cricket Club (HKCC),5,09/11/2017,3-2,"['3-1', '3-0', '3-0', '0-3', '0-3']",3,2,9,7
Royal Hong Kong Yacht Club M4,WAKO Senior,Royal Hong Kong Yacht Club (RHKYC),5,09/11/2017,1-4,"['1-3', '2-3', '1-3', '2-3', '3-1']",1,4,9,13
