Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Les Femmes Du Squash,Perrier Ladies,HK Squash Centre (HKSC),16,02/03/2018,1-3,"['3-0', '0-3', '0-3', '0-3']",1,3,3,9
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3B,Hong Kong Cricket Club (HKCC),16,02/03/2018,3-1,"['3-0', '0-3', '3-0', 'CR']",3,1,9,3
Hong Kong Football Club L3C,Hong Kong Football Club L3A,Hong Kong Football Club (HKFC),16,02/03/2018,3-1,"['3-0', '0-3', '3-1', '3-1']",3,1,9,5
Perrier Ladies,Hong Kong Cricket Club Rockettes,HK Squash Centre (HKSC),17,09/03/2018,3-1,"['3-0', '0-3', '3-0', '3-2']",3,1,9,5
Hong Kong Football Club L3B,Hong Kong Football Club L3C,Hong Kong Football Club (HKFC),17,09/03/2018,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Polladies,Les Femmes Du Squash,Police Sports & Recreation Club (PSRC),17,09/03/2018,1-3,"['0-3', '0-3', '1-3', '3-0']",1,3,4,9
Perrier Ladies,Polladies,HK Squash Centre (HKSC),18,16/03/2018,3-1,"['0-3', '3-1', '3-0', '3-0']",3,1,9,4
Hong Kong Football Club L3A,Hong Kong Cricket Club Rockettes,Hong Kong Football Club (HKFC),18,16/03/2018,0-4,"['0-3', '0-3', '0-3', '0-3']",0,4,0,12
Hong Kong Football Club L3B,Les Femmes Du Squash,Hong Kong Football Club (HKFC),18,16/03/2018,4-0,"['CR', 'CR', '3-0', '3-0']",4,0,12,0
Perrier Ladies,Hong Kong Football Club L3A,HK Squash Centre (HKSC),19,23/03/2018,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Les Femmes Du Squash,Hong Kong Cricket Club Rockettes,HK Squash Centre (HKSC),19,23/03/2018,1-3,"['0-3', '0-3', '0-3', '3-0']",1,3,3,9
Polladies,Hong Kong Football Club L3C,Police Sports & Recreation Club (PSRC),19,23/03/2018,4-0,"['3-0', '3-0', '3-0', '3-0']",4,0,12,0
Hong Kong Football Club L3C,Les Femmes Du Squash,Hong Kong Football Club (HKFC),20,13/04/2018,2-2,"['0-3', '0-3', '3-0', '3-0']",2,2,6,6
Hong Kong Football Club L3A,Polladies,Hong Kong Football Club (HKFC),20,13/04/2018,2-2,"['0-3', '0-3', '3-1', '3-0']",2,2,6,7
Perrier Ladies,Hong Kong Football Club L3B,HK Squash Centre (HKSC),20,13/04/2018,1-3,"['0-3', '0-3', '0-3', '3-0']",1,3,3,9
Les Femmes Du Squash,Hong Kong Football Club L3A,HK Squash Centre (HKSC),21,20/04/2018,1-3,"['3-0', '0-3', '2-3', '1-3']",1,3,6,9
Hong Kong Cricket Club Rockettes,Hong Kong Football Club L3C,Hong Kong Cricket Club (HKCC),21,20/04/2018,2-2,"['0-3', '3-1', '1-3', '3-0']",2,2,7,7
Hong Kong Football Club L3B,Polladies,Hong Kong Football Club (HKFC),21,20/04/2018,2-2,"['3-0', '3-0', 'CR', 'CR']",2,2,6,6
